target_name,mechanism,target,val_false_locks_per_hour,test_false_locks_per_hour,test_over_target
primary,threshold,0.125,0.1338246702870442,0.2979842243645925,2.38387379491674
primary,moving_average,0.125,0.1396431342125678,0.315512708150745,2.52410166520596
primary,ewma,0.125,0.1280062063615205,0.385626643295355,3.08501314636284
primary,majority_vote,0.125,0.1338246702870442,0.268770084721005,2.15016067776804
primary,debounce,0.125,0.1396431342125678,0.2278702892199825,1.82296231375986
primary,margin,0.125,0.1105508145849495,0.1460706982179375,1.1685655857435
primary,hysteresis,0.125,0.1338246702870442,0.222027461291265,1.77621969033012
primary,trust,0.125,0.1338246702870442,0.2278702892199825,1.82296231375986
primary,sprt,0.125,0.1396431342125678,0.2161846333625475,1.72947706690038
primary,hmm,0.125,0.1396431342125678,0.222027461291265,1.77621969033012
sensitivity_1,threshold,0.5,0.5178432893716058,0.8588957055214725,1.717791411042945
sensitivity_1,moving_average,0.5,0.5352986811481768,0.689453695588665,1.37890739117733
sensitivity_1,ewma,0.5,0.5702094647013188,0.5316973415132925,1.063394683026585
sensitivity_1,majority_vote,0.5,0.5702094647013188,0.6952965235173825,1.390593047034765
sensitivity_1,debounce,0.5,0.5527540729247479,0.58428279287175,1.1685655857435
sensitivity_1,margin,0.5,0.5236617532971295,0.642711072158925,1.28542214431785
sensitivity_1,hysteresis,0.5,0.5702094647013188,0.338884019865615,0.67776803973123
sensitivity_1,trust,0.5,0.4480217222653219,0.408997955010225,0.81799591002045
sensitivity_1,sprt,0.5,0.5643910007757952,0.5200116856558575,1.040023371311715
sensitivity_1,hmm,0.5,0.5352986811481768,0.4498977505112475,0.899795501022495
sensitivity_2,threshold,0.0416667,0.0465477114041892,0.0993280747881975,2.3838718878192298
sensitivity_2,moving_average,0.0416667,0.0465477114041892,0.1343850423605025,3.2252384364613107
sensitivity_2,ewma,0.0416667,0.0465477114041892,0.105170902716915,2.5240996459262433
sensitivity_2,majority_vote,0.0416667,0.0465477114041892,0.0642711072158925,1.5425053391771488
sensitivity_2,debounce,0.0416667,0.0407292474786656,0.058428279287175,1.4022775810701351
sensitivity_2,margin,0.0416667,0.0465477114041892,0.07011393514461,1.6827330972841623
sensitivity_2,hysteresis,0.0416667,0.0407292474786656,0.035056967572305,0.8413665486420812
sensitivity_2,trust,0.0416667,0.0407292474786656,0.09348524685948,2.2436441297122163
sensitivity_2,sprt,0.0416667,0.0465477114041892,0.081799591002045,1.963188613498189
sensitivity_2,hmm,0.0416667,0.0756400310318076,0.14022787028922,3.3654661945683246
