outcome,comparison,n_users,median_diff,ci_lo,ci_hi,p_holm,rank_biserial,significant
transitions_per_hour,majority_vote - threshold,8,0.0375704445835942,-0.6557377049180328,0.198019801980198,1.0,-0.0476190476190476,False
transitions_per_hour,debounce - threshold,8,0.0,-0.6557377049180328,0.124223602484472,1.0,-0.4666666666666667,False
transitions_per_hour,margin - threshold,8,0.0,-0.6557377049180328,0.0,1.0,-1.0,False
transitions_per_hour,hysteresis - threshold,8,0.0187852222917971,-0.6557377049180328,0.1915912719531665,1.0,-0.0476190476190476,False
transitions_per_hour,trust - threshold,8,0.0344827586206896,-0.7494145199063232,0.248447204968944,1.0,-0.0476190476190476,False
transitions_per_hour,sprt - threshold,8,0.0828193738392891,-0.6557377049180328,0.248447204968944,1.0,0.0714285714285714,False
pingpong_per_hour,moving_average - threshold,8,0.0,-0.5620608899297425,0.2484472049689441,1.0,-0.0666666666666666,False
pingpong_per_hour,ewma - threshold,8,0.0,-0.3652968036529675,0.3726708074534161,1.0,0.2,False
pingpong_per_hour,majority_vote - threshold,8,0.0,-0.5620608899297425,0.0495049504950494,1.0,-0.2,False
pingpong_per_hour,debounce - threshold,8,-0.0638637573177222,-0.5620608899297425,0.0,0.875,-0.8666666666666667,False
pingpong_per_hour,margin - threshold,8,-0.031055900621118,-0.5620608899297425,0.0,0.875,-0.8666666666666667,False
pingpong_per_hour,hysteresis - threshold,8,-0.0742574257425742,-0.5620608899297425,0.0344827586206896,0.875,-0.7142857142857143,False
pingpong_per_hour,trust - threshold,8,0.0,-0.6088992974238876,0.0482972799314628,1.0,-0.4285714285714285,False
pingpong_per_hour,sprt - threshold,8,-0.0558083758686427,-0.5620608899297425,0.0,0.5,-0.9047619047619048,False
lockout_mean_frames,moving_average - threshold,5,0.8611111111111112,0.5,30.61111111111111,0.5,1.0,False
lockout_mean_frames,ewma - threshold,5,1.0166666666666666,0.375,30.61111111111111,0.5,1.0,False
lockout_mean_frames,majority_vote - threshold,5,3.5,1.333333333333333,31.61111111111111,0.5,1.0,False
lockout_mean_frames,debounce - threshold,5,5.0,3.333333333333333,31.61111111111111,0.5,1.0,False
lockout_mean_frames,margin - threshold,5,10.0,1.0,31.61111111111111,0.5,1.0,False
lockout_mean_frames,hysteresis - threshold,5,12.5,9.5,31.61111111111111,0.5,1.0,False
lockout_mean_frames,trust - threshold,5,17.666666666666668,7.888888888888889,68.11111111111111,0.5,1.0,False
lockout_mean_frames,sprt - threshold,5,23.666666666666668,10.0,83.14285714285715,0.5,1.0,False
