outcome,n_users,statistic,p_value,kendalls_w,nemenyi_cd
ania,33,88.58218959463782,9.018891552550451e-16,0.3355385969493857,2.091186169504804
first_lock,33,94.67317073170732,5.214633594721201e-17,0.358610495195861,2.091186169504804
recovery,33,223.1448185681596,8.336166031942748e-44,0.8452455248793923,2.091186169504804
miss_rate,33,138.41738530527778,5.062147943136047e-26,0.5243082776715067,2.091186169504804
far_frame,33,190.30131445904945,7.03788263280724e-37,0.7208383123448843,2.091186169504804
frr_time,33,167.71806167400885,3.878027767018589e-32,0.6352956881591244,2.091186169504804
false_locks_per_hour,33,12.603898249091548,0.126224491911595,0.0477420388223164,2.091186169504804
transitions_per_hour,33,11.19218241042344,0.1910458578770923,0.042394630342513,2.091186169504804
pingpong_per_hour,33,29.336088154270005,0.0002767838220301,0.1111215460389015,2.091186169504804
lockout_mean_frames,16,109.824,4.138155208154261e-20,0.858,3.0032374890735603
