mechanism,chosen_params,calib_FAR,calib_FRR,target_FAR,tolerance,feasible_interval,n_candidates,n_feasible_candidates,feasible_operating_point_exists,constraint_satisfied,nearest_candidate_direction,achievable_min_FAR,achievable_max_FAR,enrolled_user
instantaneous,{'theta': 0.837345585997521},0.049305555555555554,0.13819444444444445,0.05,0.01,"[0.04, 0.060000000000000005]",80,14,True,True,within_interval,0.0,0.9694444444444444,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
moving_average,"{'theta': 0.818602869676883, 'w': 3}",0.05,0.134375,0.05,0.01,"[0.04, 0.060000000000000005]",320,69,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
ewma,"{'theta': 0.813953488372093, 'alpha': 0.2}",0.05,0.15729166666666666,0.05,0.01,"[0.04, 0.060000000000000005]",320,59,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
majority_vote,"{'theta': 0.8422653077888049, 'w': 3, 'k': 2}",0.05,0.14756944444444445,0.05,0.01,"[0.04, 0.060000000000000005]",400,49,True,True,within_interval,0.0,0.9847222222222223,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
debounce,"{'theta': 0.8422653077888049, 'n': 3}",0.05,0.14722222222222223,0.05,0.01,"[0.04, 0.060000000000000005]",320,58,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
margin_dual_threshold,"{'theta': 0.8227400737832079, 'margin': 0.05}",0.05,0.13506944444444444,0.05,0.01,"[0.04, 0.060000000000000005]",320,76,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
hysteresis,"{'theta': 0.9847534497732316, 'margin': 0.05, 'ttt_frames': 10}",0.05,0.7395833333333334,0.05,0.01,"[0.04, 0.060000000000000005]",960,147,True,True,within_interval,0.003472222222222222,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
trust_model,"{'theta': 0.8227400737832079, 'gain': 0.6, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.14027777777777778,0.05,0.01,"[0.04, 0.060000000000000005]",720,93,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
sprt,"{'A': 16, 'B': 4, 'mu_gen': 0.9222382045632432, 'sd_gen': 0.07857069532912146, 'mu_imp': 0.4902758344323287, 'sd_imp': 0.24260652032787838}",0.05,0.06909722222222223,0.05,0.01,"[0.04, 0.060000000000000005]",25,7,True,True,within_interval,0.030555555555555555,0.1361111111111111,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
instantaneous,{'theta': 0.8805147058823529},0.05,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",80,13,True,True,within_interval,0.0,0.9694444444444444,0A986513-7828-4D53-AA1F-E02D6DF9561B
moving_average,"{'theta': 0.8779616013071896, 'w': 5}",0.05,0.027430555555555555,0.05,0.01,"[0.04, 0.060000000000000005]",320,47,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
ewma,"{'theta': 0.8625408496732027, 'alpha': 0.2}",0.05,0.05451388888888889,0.05,0.01,"[0.04, 0.060000000000000005]",320,73,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
majority_vote,"{'theta': 0.8893184389140272, 'w': 3, 'k': 2}",0.05,0.007638888888888889,0.05,0.01,"[0.04, 0.060000000000000005]",400,45,True,True,within_interval,0.0,0.9805555555555555,0A986513-7828-4D53-AA1F-E02D6DF9561B
debounce,"{'theta': 0.8893184389140272, 'n': 2}",0.049305555555555554,0.007638888888888889,0.05,0.01,"[0.04, 0.060000000000000005]",320,32,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
margin_dual_threshold,"{'theta': 0.8540290346907994, 'margin': 0.1}",0.04791666666666667,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",320,109,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
hysteresis,"{'theta': 0.9558801981209151, 'margin': 0.05, 'ttt_frames': 5}",0.05,0.5399305555555556,0.05,0.01,"[0.04, 0.060000000000000005]",960,85,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
trust_model,"{'theta': 0.8917200854700855, 'gain': 0.6, 'decay': 0.2, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.08333333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",720,66,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
sprt,"{'A': 1, 'B': 16, 'mu_gen': 0.9616801697530863, 'sd_gen': 0.022950441067914787, 'mu_imp': 0.46065275792029775, 'sd_imp': 0.24348947082869582}",0.025694444444444443,0.002777777777777778,0.05,0.01,"[0.04, 0.060000000000000005]",25,0,False,False,below_interval,0.0,0.025694444444444443,0A986513-7828-4D53-AA1F-E02D6DF9561B
instantaneous,{'theta': 0.821569398972757},0.049305555555555554,0.034722222222222224,0.05,0.01,"[0.04, 0.060000000000000005]",80,14,True,True,within_interval,0.0,0.9708333333333333,136562B6-95B2-483D-88DC-065F28409FD2
moving_average,"{'theta': 0.8249510407593188, 'w': 5}",0.050694444444444445,0.05381944444444445,0.05,0.01,"[0.04, 0.060000000000000005]",320,38,True,True,within_interval,0.0,0.9916666666666667,136562B6-95B2-483D-88DC-065F28409FD2
ewma,"{'theta': 0.8181374463100352, 'alpha': 0.5}",0.050694444444444445,0.043055555555555555,0.05,0.01,"[0.04, 0.060000000000000005]",320,40,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
majority_vote,"{'theta': 0.8277040218664584, 'w': 3, 'k': 2}",0.05,0.04097222222222222,0.05,0.01,"[0.04, 0.060000000000000005]",400,58,True,True,within_interval,0.0,0.9784722222222222,136562B6-95B2-483D-88DC-065F28409FD2
debounce,"{'theta': 0.8259529030126452, 'n': 2}",0.050694444444444445,0.040625,0.05,0.01,"[0.04, 0.060000000000000005]",320,36,True,True,within_interval,0.0,0.9805555555555555,136562B6-95B2-483D-88DC-065F28409FD2
margin_dual_threshold,"{'theta': 0.821569398972757, 'margin': 0.05}",0.04861111111111111,0.034722222222222224,0.05,0.01,"[0.04, 0.060000000000000005]",320,16,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
hysteresis,"{'theta': 0.9921905505661851, 'margin': 0.1, 'ttt_frames': 10}",0.05,0.6229166666666667,0.05,0.01,"[0.04, 0.060000000000000005]",960,53,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
trust_model,"{'theta': 0.9373271085513472, 'gain': 0.1, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.049305555555555554,0.5072916666666667,0.05,0.01,"[0.04, 0.060000000000000005]",720,13,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
sprt,"{'A': 1, 'B': 4, 'mu_gen': 0.9392268238318365, 'sd_gen': 0.04816735046673467, 'mu_imp': 0.4108399496724369, 'sd_imp': 0.2621077094405757}",0.04861111111111111,0.034375,0.05,0.01,"[0.04, 0.060000000000000005]",25,7,True,True,within_interval,0.018055555555555554,0.07430555555555556,136562B6-95B2-483D-88DC-065F28409FD2
instantaneous,{'theta': 0.8729388942774006},0.08611111111111111,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",40,0,False,False,above_interval,0.0,0.9715277777777778,1538C99F-BA1E-4EFB-A949-6C7C47701B20
moving_average,"{'theta': 0.8859223957322988, 'w': 20}",0.05277777777777778,0.2326388888888889,0.05,0.01,"[0.04, 0.060000000000000005]",160,3,True,True,within_interval,0.0,0.99375,1538C99F-BA1E-4EFB-A949-6C7C47701B20
ewma,"{'theta': 0.8778481280310378, 'alpha': 0.1}",0.04583333333333333,0.18333333333333332,0.05,0.01,"[0.04, 0.060000000000000005]",160,1,True,True,within_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
majority_vote,"{'theta': 0.9031037827352085, 'w': 10, 'k': 6}",0.04791666666666667,0.31145833333333334,0.05,0.01,"[0.04, 0.060000000000000005]",200,10,True,True,within_interval,0.0,0.9944444444444445,1538C99F-BA1E-4EFB-A949-6C7C47701B20
debounce,"{'theta': 0.9031037827352085, 'n': 5}",0.05,0.31805555555555554,0.05,0.01,"[0.04, 0.060000000000000005]",160,15,True,True,within_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
margin_dual_threshold,"{'theta': 0.8778481280310378, 'margin': 0.05}",0.08333333333333333,0.09444444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",160,0,False,False,above_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
hysteresis,"{'theta': 0.917776935014549, 'margin': 0.05, 'ttt_frames': 5}",0.05,0.35208333333333336,0.05,0.01,"[0.04, 0.060000000000000005]",480,28,True,True,within_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
trust_model,"{'theta': 0.8998060135790494, 'gain': 0.6, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.050694444444444445,0.2847222222222222,0.05,0.01,"[0.04, 0.060000000000000005]",360,15,True,True,within_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
sprt,"{'A': 16, 'B': 1, 'mu_gen': 0.9337992038473973, 'sd_gen': 0.03687362871876864, 'mu_imp': 0.48333158206703314, 'sd_imp': 0.32058089544695145}",0.10416666666666667,0.04236111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",25,0,False,False,above_interval,0.10416666666666667,0.15763888888888888,1538C99F-BA1E-4EFB-A949-6C7C47701B20
instantaneous,{'theta': 0.7906431121621004},0.049305555555555554,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",80,13,True,True,within_interval,0.0,0.9701388888888889,24E40C4C-A349-4F9F-93AB-01D00FB994AF
moving_average,"{'theta': 0.8368881470147296, 'w': 5}",0.05,0.026041666666666668,0.05,0.01,"[0.04, 0.060000000000000005]",320,21,True,True,within_interval,0.0,0.9909722222222223,24E40C4C-A349-4F9F-93AB-01D00FB994AF
ewma,"{'theta': 0.8165533763002125, 'alpha': 0.5}",0.050694444444444445,0.011111111111111112,0.05,0.01,"[0.04, 0.060000000000000005]",320,22,True,True,within_interval,0.0,1.0,24E40C4C-A349-4F9F-93AB-01D00FB994AF
majority_vote,"{'theta': 0.8750356254153724, 'w': 5, 'k': 3}",0.05,0.01597222222222222,0.05,0.01,"[0.04, 0.060000000000000005]",400,44,True,True,within_interval,0.0,0.9715277777777778,24E40C4C-A349-4F9F-93AB-01D00FB994AF
debounce,"{'theta': 0.8695204092672448, 'n': 3}",0.05,0.01597222222222222,0.05,0.01,"[0.04, 0.060000000000000005]",320,22,True,True,within_interval,0.0,0.98125,24E40C4C-A349-4F9F-93AB-01D00FB994AF
