uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2087,9.801430057458735e-07,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,2087,4.4062410367295126e-07,0.0
136562B6-95B2-483D-88DC-065F28409FD2,2087,0.010813548545728696,0.006708193579300431
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2087,7.643069680370924e-05,0.0
27E04243-B138-4F40-A164-F40B60165CF3,2087,6.940706369921503e-06,0.0
4E98F91F-4654-42EF-B908-A3389443F2E7,2087,1.3547213429875096e-06,0.0
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2087,0.003677389907219195,0.0
59818CD2-24D7-4D32-B133-24C2FE3801E5,2087,9.59934161938188e-07,0.0
665514DE-49DC-421F-8DCB-145D0B2609AD,2087,2.1335551247985192e-07,0.0
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2087,1.301916507314917e-06,0.0
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2087,0.0003240279694068123,0.0
7CE37510-56D0-4120-A1CF-0E23351428D2,2087,6.359848911422171e-05,0.0
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2087,1.3024661856512426e-06,0.0
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2087,2.9869617625514197e-06,0.0
86A4F379-B305-473D-9D83-FC7D800180EF,2087,1.5527747217577261e-06,0.0
96A358A0-FFF2-4239-B93E-C7425B901B47,2087,0.0009454827341392421,0.0
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2087,1.5669060495265815e-05,0.0
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,8.076836159953203e-07,0.0
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2087,0.002190840922841593,0.0014374700527072352
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2087,7.998332692319489e-07,0.0
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2087,0.0018312905577350508,0.0
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2087,1.723301248286392e-05,0.0
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2087,9.49082558785729e-06,0.0
