comparison,metric,ci_level,diff_mean,lo,hi
cell_H vs cell_D,FRR,0.8,0.06684722222222222,0.04103518518518518,0.09169675925925927
cell_H vs cell_D,detection_failure,0.8,0.0,0.0,0.0
cell_H vs cell_D,FRR,0.9,0.06684722222222222,0.03404537037037037,0.09945092592592589
cell_H vs cell_D,detection_failure,0.9,0.0,0.0,0.0
cell_H vs cell_D,FRR,0.95,0.06684722222222222,0.02952777777777779,0.10795706018518518
cell_H vs cell_D,detection_failure,0.95,0.0,0.0,0.0
cell_H vs cell_D,FRR,0.99,0.06684722222222222,0.018303379629629638,0.12306918981481459
cell_H vs cell_D,detection_failure,0.99,0.0,0.0,0.0
cell_H vs cell_M,FRR,0.8,0.0308179012345679,0.011263888888888891,0.04941666666666667
cell_H vs cell_M,detection_failure,0.8,-0.009259259259259259,-0.018518518518518517,0.0
cell_H vs cell_M,FRR,0.9,0.0308179012345679,0.006109567901234572,0.055664351851851854
cell_H vs cell_M,detection_failure,0.9,-0.009259259259259259,-0.027777777777777776,0.0
cell_H vs cell_M,FRR,0.95,0.0308179012345679,0.0024675925925925976,0.06057253086419751
cell_H vs cell_M,detection_failure,0.95,-0.009259259259259259,-0.027777777777777776,0.0
cell_H vs cell_M,FRR,0.99,0.0308179012345679,-0.004676157407407403,0.06850331790123455
cell_H vs cell_M,detection_failure,0.99,-0.009259259259259259,-0.037037037037037035,0.0
