partition,params_str,mechanism,target_name,genuine_uuid,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks,genuine_hours,false_locks_per_hour,frr_time,transitions_per_hour,pingpong_per_hour,pingpong_locks_per_hour,lockout_mean_frames,X_n_sequences,X_ania_median,X_ania_mean,X_first_lock_median,X_miss_rate,X_far_frame,X_fa_frames,X_impostor_frames,X_recovery_median,X_recovery_censored_rate,X_locked_at_switch_rate,X_locked_at_return_rate,M_n_sequences,M_ania_median,M_ania_mean,M_first_lock_median,M_miss_rate,M_far_frame,M_fa_frames,M_impostor_frames,M_recovery_median,M_recovery_censored_rate,M_locked_at_switch_rate,M_locked_at_return_rate
test,theta=0.05732,threshold,primary,A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,1179,1,1,2,1,1,1,19.65,0.050890585241730284,0.0008481764206955047,0.10178117048346057,0.050890585241730284,0.050890585241730284,1.0,16,0.0,2.5,0.0,0.25,0.371875,104,412,0.0,0.0,0.0,0.5625,16,8.0,11.0,3.5,0.25,0.51875,215,412,0.0,0.0,0.0,0.5625
test,theta=0.05732,threshold,primary,A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,1475,0,0,0,0,0,0,24.583333333333332,0.0,0.0,0.0,0.0,0.0,,16,20.0,25.75,20.0,1.0,1.0,412,412,0.0,0.0,0.0,0.0,16,20.0,25.75,20.0,1.0,0.99375,411,412,0.0,0.0,0.0,0.0
test,theta=0.05732,threshold,primary,B09E373F-8A54-44C8-895B-0039390B859F,1597,0,0,0,0,0,0,26.616666666666667,0.0,0.0,0.0,0.0,0.0,,16,4.0,18.375,2.5,0.4375,0.61875,321,412,0.0,0.0,0.0,0.4375,16,3.5,10.125,3.5,0.5,0.6375,197,412,0.0,0.0,0.0,0.375
test,theta=0.05732,threshold,primary,B9724848-C7E2-45F4-9B3F-A1F38D864495,1497,33,33,66,63,57,31,24.95,1.3226452905811623,0.04208416833667335,2.6452905811623246,2.284569138276553,1.24248496993988,1.9090909090909092,16,1.0,7.3125,0.5,0.25,0.38229166666666664,146,412,0.0,0.0,0.0625,0.6875,16,2.5,6.375,0.0,0.3125,0.4895833333333333,194,412,0.0,0.0,0.0,0.5625
test,theta=0.05732,threshold,primary,BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,1633,0,0,0,0,0,0,27.216666666666665,0.0,0.0,0.0,0.0,0.0,,16,10.0,21.375,3.0,0.875,0.8166666666666667,305,412,0.0,0.0,0.0,0.125,16,10.0,14.25,5.0,0.625,0.7354166666666666,238,412,0.0,0.0,0.0,0.125
test,theta=0.05732,threshold,primary,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,937,0,0,0,0,0,0,15.616666666666667,0.0,0.0,0.0,0.0,0.0,,16,3.0,10.875,1.5,0.375,0.521875,181,412,0.0,0.0,0.0,0.625,16,0.5,8.8125,0.0,0.125,0.39479166666666665,213,412,0.0,0.0,0.0,0.5625
test,theta=0.05732,threshold,primary,CA820D43-E5E2-42EF-9798-BE56F776370B,1543,8,8,16,9,8,8,25.716666666666665,0.3110823071937784,0.005832793259883344,0.6221646143875568,0.3110823071937784,0.3110823071937784,1.125,16,8.5,14.0,3.5,0.4375,0.615625,280,412,0.0,0.0,0.0,0.4375,16,3.0,10.75,2.0,0.5625,0.671875,240,412,0.0,0.0,0.0,0.1875
test,theta=0.05732,threshold,primary,CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,537,0,0,0,0,0,0,8.95,0.0,0.0,0.0,0.0,0.0,,16,3.0,8.5625,0.0,0.375,0.4947916666666667,164,412,0.0,0.0,0.0,0.4375,16,2.5,4.6875,0.5,0.375,0.421875,136,412,0.0,0.0,0.0,0.5
test,theta=0.05732,threshold,primary,CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,694,3,3,6,3,3,3,11.566666666666666,0.25936599423631124,0.004322766570605188,0.5187319884726225,0.25936599423631124,0.25936599423631124,1.0,16,6.5,14.4375,0.5,0.1875,0.47916666666666663,262,412,0.0,0.0,0.0,0.5625,16,10.0,13.4375,3.0,0.5,0.6260416666666666,231,412,0.0,0.0,0.0,0.375
test,theta=0.05732,threshold,primary,D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,1212,2,2,4,2,2,2,20.2,0.09900990099009901,0.0016501650165016502,0.19801980198019803,0.09900990099009901,0.09900990099009901,1.0,16,3.0,6.0,0.0,0.375,0.5125,147,412,0.0,0.0,0.0,0.375,16,10.0,17.6875,2.0,0.75,0.7,277,412,0.0,0.0,0.0,0.1875
