genuine_uuid,n_train_genuine,n_train_impostor,n_train_impostor_users,n_features_used,platt_coef,platt_intercept,val_eer,val_auc,val_far_at_0.5,val_frr_at_0.5,val_brier_balanced,val_genuine_frac_p_le_0.4,val_genuine_frac_band_0.4_0.6,val_impostor_frac_p_ge_0.6,val_impostor_frac_band_0.4_0.6,val_genuine_median_p,val_impostor_median_p,val_n_genuine,val_n_impostor,val_eer_raw,test_eer,test_auc,test_far_at_0.5,test_frr_at_0.5,test_brier_balanced,test_genuine_frac_p_le_0.4,test_genuine_frac_band_0.4_0.6,test_impostor_frac_p_ge_0.6,test_impostor_frac_band_0.4_0.6,test_genuine_median_p,test_impostor_median_p,test_n_genuine,test_n_impostor,test_eer_raw,val_frac_within_90s_of_train,test_frac_within_90s_of_train,test_transitions_at_0.5,test_transitions_per_hour_at_0.5,fit_seconds
00EABED2-271D-49D8-B599-1D4A09240601,1372,28000,28,52,0.7796151093447407,0.44091259703710833,0.04264810080203024,0.9859743037800762,0.03361199192850966,0.04205607476635514,0.03386961650321399,0.04205607476635514,0.009345794392523364,0.023292014989910636,0.02525223407321995,0.9846334096338216,0.011261925732373102,428,17345,0.04264810080203024,0.198574583455438,0.917352910943708,0.07860860038345659,0.2680652680652681,0.13274204912441567,0.23543123543123542,0.08158508158508158,0.0504519309778143,0.06425636811832375,0.9691300723684727,0.023241541746078887,429,18255,0.198574583455438,0.0,0.0,52,7.2727272727272725,1.32
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,4087,28000,28,52,0.97167397741572,1.0658316362860953,0.09290799233932656,0.9769529127575346,0.10084033613445378,0.08545727136431784,0.06217636524833052,0.05622188905547226,0.05547226386806597,0.07547069460695671,0.0546218487394958,0.9855484658324736,0.001983391532369155,1334,18802,0.09290799233932656,0.06578848984791497,0.9886221621711081,0.08898952731389753,0.03973013493253373,0.04543962568355775,0.027736131934032984,0.035982008995502246,0.06719501839796208,0.042513444664591,0.9991739007386202,0.0020779493021241824,1334,17665,0.06578848984791497,0.0,0.0,59,2.653673163418291,1.87
0A986513-7828-4D53-AA1F-E02D6DF9561B,2376,28000,28,52,0.78517183429587,1.4147094360577508,0.0684298995999028,0.9797195831954312,0.06165161753273934,0.07339449541284404,0.051155062834593465,0.06422018348623854,0.015727391874180863,0.047838306523949055,0.029300962745918795,0.9914421409774465,0.02569375359328348,763,16723,0.0684298995999028,0.09434937329535048,0.9545810467753201,0.15750103892505887,0.0327653997378768,0.07676826904953854,0.02490170380078637,0.023591087811271297,0.13457542595927413,0.045989749272752456,0.9822716192149752,0.04979807554942619,763,14438,0.09434937329535048,0.0,0.0,14,1.1009174311926606,1.38
0BFC35E2-4817-4865-BFA7-764742302A2D,1864,28000,28,52,0.7567593744910872,1.5105285393876484,0.07225261305541651,0.9800128440459757,0.05917808219178082,0.07641196013289037,0.05173257763718621,0.06976744186046512,0.019933554817275746,0.036834094368340946,0.05156773211567732,0.9843850280599445,0.02600452589625097,602,16425,0.07225261305541651,0.11637224370323512,0.964852654391921,0.0565178342314601,0.1539708265802269,0.08208752027887506,0.1458670988654781,0.01620745542949757,0.046125224531691045,0.023479599692070825,0.9834940408054534,0.016458132201338627,617,15588,0.11637224370323512,0.0,0.0,33,3.2090761750405186,1.51
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,4512,28000,28,52,0.9974449704657704,2.0957302651098364,0.03454561713144633,0.9952428555438579,0.04081387671808415,0.024324324324324326,0.024919685895786768,0.018243243243243244,0.018243243243243244,0.03325130544385091,0.014584958886021248,0.9997327052155927,0.0009912102168084726,1480,16661,0.03454561713144633,0.020182797701045162,0.9986410212625341,0.047362015134677464,0.007427413909520594,0.02054873800071234,0.0054017555705604325,0.008102633355840648,0.035243689474519765,0.023919140604328728,0.9999720828099337,0.0015187265330139574,1481,18897,0.020182797701045162,0.0,0.0,10,0.4051316677920324,1.93
11B5EC4D-4133-4289-B475-4E737182A406,5307,28000,28,52,0.8864097900630981,1.8046912902500887,0.078089945706967,0.9826542198457092,0.07251948051948053,0.08395629672225417,0.054091214562040385,0.0621046578493387,0.04082806210465785,0.05579220779220779,0.03761038961038961,0.9980842147891748,0.011205204436561486,1739,19250,0.078089945706967,0.04759483312129681,0.992812259968697,0.09045784560675656,0.022413793103448276,0.03941602309976078,0.017241379310344827,0.017241379310344827,0.06867684101348348,0.04452511483182694,0.9991958258564323,0.013249535861074859,1740,13498,0.04759483312129681,0.0,0.0,36,1.2413793103448276,1.48
136562B6-95B2-483D-88DC-065F28409FD2,3730,28000,28,52,0.8966957739953101,0.9119472781476317,0.08440339466252739,0.9752768488906145,0.08403312677361441,0.08477366255144032,0.06247539381411875,0.06666666666666667,0.04526748971193416,0.06202582961718886,0.05136966467828807,0.9889262088122625,0.008336852189912185,1215,17267,0.08440339466252739,0.10160555501925322,0.9659031956466555,0.15193310165073848,0.06255144032921811,0.07807681380633379,0.050205761316872426,0.03786008230452675,0.11446568201563857,0.08020199826238054,0.9830550288228531,0.06847926642070774,1215,18416,0.10160555501925322,0.0,0.0,70,3.45679012345679,1.9
1538C99F-BA1E-4EFB-A949-6C7C47701B20,3929,28000,28,52,0.7839121480197783,1.128980079267024,0.10933111811578815,0.9598265579044819,0.1271018542037084,0.06401249024199844,0.07361665768157226,0.0234192037470726,0.10460577673692428,0.10393700787401575,0.046583693167386336,0.9557395695219935,0.0187931958421332,1281,19685,0.10933111811578815,0.07980753520212154,0.9738155885833027,0.13237924865831843,0.06479313036690086,0.07394197954160406,0.06088992974238876,0.01014832162373146,0.1079734219269103,0.057372859698441095,0.9953707821700126,0.013786094947977258,1281,15652,0.07980753520212154,0.0,0.0,16,0.7494145199063231,2.26
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,4425,28000,28,52,0.8820574163124973,1.5030711851039182,0.013947380489995756,0.9993201751611495,0.012682815356489945,0.01522491349480969,0.010092431790446593,0.011072664359861591,0.006228373702422145,0.010569012797074954,0.004113345521023766,0.9999682307614914,0.0009427338482140483,1445,17504,0.013947380489995756,0.017143421174242,0.9988065341493085,0.02772761075108892,0.009681881051175657,0.015560231511441203,0.006224066390041493,0.006915629322268326,0.023796876659938383,0.013067034951662594,0.9999480109436898,0.0016106891656663543,1446,18826,0.017143421174242,0.0,0.0,25,1.0373443983402488,2.04
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2862,28000,28,52,0.7510081052101294,1.4575939880352655,0.13943902247029138,0.9329651308724782,0.16771995383854482,0.10702702702702703,0.10043455551072067,0.07243243243243243,0.08,0.12991152387756225,0.07512227290212672,0.873687163044261,0.055421916568146545,925,18197,0.13943902247029138,0.1511892270140088,0.9194473158557918,0.14372283773030545,0.16090712742980562,0.11399904051504633,0.11771058315334773,0.08531317494600432,0.1124441451918957,0.06537307951276244,0.8499902185936079,0.03773840756210673,926,16337,0.1511892270140088,0.0,0.0,150,9.719222462203023,2.13
