enrolled_user,cell_H,cell_H_calib_FRR,cell_D,cell_D_calib_FRR,cell_M,cell_M_calib_FRR
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,m0.1_k2,0.11597222222222223,m0_k3,0.14722222222222223,m0.2_k1,0.034722222222222224
0A986513-7828-4D53-AA1F-E02D6DF9561B,m0.05_k3,0.09583333333333334,m0_k2,0.007638888888888889,m0.05_k1,0.0
136562B6-95B2-483D-88DC-065F28409FD2,m0.05_k3,0.050694444444444445,m0_k2,0.040625,m0.05_k1,0.034722222222222224
1538C99F-BA1E-4EFB-A949-6C7C47701B20,m0.05_k5,0.35208333333333336,m0_k5,0.31805555555555554,,
24E40C4C-A349-4F9F-93AB-01D00FB994AF,m0.05_k2,0.00798611111111111,m0_k2,0.00798611111111111,m0.05_k1,0.0
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,m0.05_k5,0.40902777777777777,m0_k3,0.022222222222222223,m0.05_k1,0.004166666666666667
3600D531-0C55-44A7-AE95-A7A38519464E,m0.05_k5,0.259375,m0_k2,0.007638888888888889,m0.05_k1,0.001388888888888889
4FC32141-E888-4BFF-8804-12559A491D8C,m0.05_k5,0.3236111111111111,m0_k2,0.009027777777777777,m0.2_k1,0.2833333333333333
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,m0.05_k3,0.08229166666666667,m0_k2,0.00798611111111111,m0.05_k1,0.0
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,m0.1_k3,0.1736111111111111,m0_k2,0.00798611111111111,m0.1_k1,0.07326388888888889
5EF64122-B513-46AE-BCF1-E62AAC285D2C,m0.05_k2,0.009027777777777777,m0_k2,0.00798611111111111,,
61976C24-1C50-4355-9C49-AAE44A7D09F6,m0.05_k2,0.008333333333333333,m0_k2,0.010763888888888889,m0.1_k1,0.00034722222222222224
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,m0.05_k2,0.22083333333333333,m0_k2,0.2204861111111111,m0.1_k1,0.2152777777777778
7CE37510-56D0-4120-A1CF-0E23351428D2,m0.1_k2,0.44895833333333335,m0_k10,0.5131944444444444,m0.1_k1,0.5072916666666667
7D9BB102-A612-4E2A-8E22-3159752F55D8,,,m0_k2,0.00798611111111111,m0.05_k1,0.0
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,m0.05_k2,0.008333333333333333,m0_k2,0.00798611111111111,m0.1_k1,0.0
83CF687B-7CEC-434B-9FE8-00C3D5799BE6,m0.1_k2,0.015277777777777777,m0_k2,0.007638888888888889,m0.2_k1,0.0024305555555555556
9759096F-1119-4E19-A0AD-6F16989C7E1C,m0.05_k2,0.2861111111111111,m0_k3,0.2760416666666667,m0.05_k1,0.25243055555555555
9DC38D04-E82E-4F29-AB52-B476535226F2,m0.05_k3,0.01597222222222222,m0_k2,0.007638888888888889,,
A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,m0.05_k3,0.1423611111111111,m0_k2,0.011111111111111112,m0.2_k1,0.14305555555555555
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,m0.05_k2,0.00798611111111111,m0_k2,0.007638888888888889,m0.05_k1,0.0
B09E373F-8A54-44C8-895B-0039390B859F,m0.05_k2,0.008333333333333333,m0_k2,0.00798611111111111,m0.05_k1,0.002777777777777778
B9724848-C7E2-45F4-9B3F-A1F38D864495,m0.05_k5,0.39861111111111114,m0_k2,0.05625,m0.05_k1,0.06631944444444444
BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,m0.05_k3,0.036458333333333336,m0_k2,0.011111111111111112,m0.05_k1,0.004166666666666667
CA820D43-E5E2-42EF-9798-BE56F776370B,m0.05_k2,0.059027777777777776,m0_k2,0.02847222222222222,m0.05_k1,0.016666666666666666
CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,m0.05_k2,0.049305555555555554,m0_k2,0.04479166666666667,,
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,m0.05_k3,0.016666666666666666,m0_k2,0.00798611111111111,m0.2_k1,0.0
D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,m0.05_k2,0.00798611111111111,m0_k2,0.007291666666666667,m0.05_k1,0.0
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,m0.05_k3,0.08506944444444445,m0_k2,0.00798611111111111,,
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,m0.05_k2,0.00798611111111111,m0_k2,0.00798611111111111,m0.05_k1,0.0
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,m0.05_k5,0.25416666666666665,m0_k2,0.007638888888888889,,
