enrolled_user,mechanism,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,debounce,0.2833333333333334,0.11666666666666665,2.5,0.6666666666666666,0.16666666666666666,1.3966480446927374,0.0,0.16666666666666666,0.16666666666666666,2.0,1.6,11.666666666666666,11.333333333333334,0.11666666666666665
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,ewma,0.2638888888888889,0.10833333333333334,3.8333333333333335,1.8333333333333333,0.0,2.1415270018621975,1.6666666666666667,0.16666666666666666,0.16666666666666666,0.2,1.4,10.166666666666666,11.166666666666666,0.10833333333333334
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,hysteresis,0.2722222222222222,0.10277777777777779,2.5,0.6666666666666666,0.16666666666666666,1.3966480446927374,0.0,0.16666666666666666,0.16666666666666666,1.0,0.8,10.833333333333334,10.666666666666666,0.10277777777777779
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,instantaneous,0.26666666666666666,0.10833333333333332,6.833333333333333,4.833333333333333,0.0,3.8175046554934826,5.0,0.16666666666666666,0.16666666666666666,0.0,0.0,10.0,10.0,0.10833333333333332
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,majority_vote,0.26666666666666666,0.12499999999999999,2.5,0.6666666666666666,0.16666666666666666,1.3966480446927374,0.0,0.16666666666666666,0.16666666666666666,1.0,2.4,10.833333333333334,12.0,0.12499999999999999
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,margin_dual_threshold,0.2777777777777778,0.07777777777777778,2.5,0.6666666666666666,0.16666666666666666,1.3966480446927374,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0,10.833333333333334,0.0,0.07777777777777778
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,moving_average,0.2611111111111111,0.1125,3.1666666666666665,1.1666666666666667,0.0,1.7690875232774674,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.2,1.4,10.166666666666666,11.166666666666666,0.1125
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,trust_model,0.27222222222222225,0.09166666666666666,2.1666666666666665,0.3333333333333333,0.16666666666666666,1.2104283054003724,0.0,0.16666666666666666,0.0,1.6,3.3333333333333335,11.333333333333334,3.3333333333333335,0.09166666666666666
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,trust_model_single,0.2722222222222222,0.11805555555555557,2.1666666666666665,0.3333333333333333,0.16666666666666666,1.2104283054003724,0.0,0.16666666666666666,0.0,1.2,4.666666666666667,11.0,4.666666666666667,0.11805555555555557
0A986513-7828-4D53-AA1F-E02D6DF9561B,debounce,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
0A986513-7828-4D53-AA1F-E02D6DF9561B,ewma,0.0,0.015277777777777777,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,1.8333333333333333,0.015277777777777777
0A986513-7828-4D53-AA1F-E02D6DF9561B,hysteresis,0.03333333333333333,0.016666666666666666,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.016666666666666666
0A986513-7828-4D53-AA1F-E02D6DF9561B,instantaneous,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,majority_vote,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
0A986513-7828-4D53-AA1F-E02D6DF9561B,margin_dual_threshold,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,moving_average,0.0,0.016666666666666666,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.016666666666666666
0A986513-7828-4D53-AA1F-E02D6DF9561B,trust_model,0.002777777777777778,0.06388888888888888,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.16666666666666666,7.666666666666667,0.16666666666666666,7.666666666666667,0.06388888888888888
0A986513-7828-4D53-AA1F-E02D6DF9561B,trust_model_single,0.002777777777777778,0.03333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.16666666666666666,4.0,0.16666666666666666,4.0,0.03333333333333333
