mechanism,mean,median,count
debounce,0.012283333333333339,-0.024999999999999998,25
ewma,0.002494444444444447,-0.041666666666666664,25
hysteresis,0.011588888888888892,-0.009722222222222222,25
instantaneous,0.00033333333333333213,-0.04027777777777778,25
majority_vote,0.00795,-0.02638888888888889,25
margin_dual_threshold,-0.005094444444444444,-0.041666666666666664,25
moving_average,0.004666666666666671,-0.0375,25
trust_model,0.011605555555555553,-0.020138888888888894,25
trust_model_single,0.003983333333333335,-0.033333333333333326,25
