enrolled_user,mechanism,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,debounce,0.2833333333333334,0.1111111111111111,2.5,0.6666666666666666,0.16666666666666666,1.3966480446927374,0.0,0.16666666666666666,0.16666666666666666,2.0,1.6,11.666666666666666,11.333333333333334,0.1111111111111111
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,ewma,0.2638888888888889,0.08611111111111112,4.5,2.5,0.0,2.5139664804469275,2.3333333333333335,0.16666666666666666,0.0,0.2,2.0,10.166666666666666,2.0,0.08611111111111112
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,hysteresis,0.2722222222222222,0.07083333333333335,2.1666666666666665,0.3333333333333333,0.16666666666666666,1.2104283054003724,0.0,0.16666666666666666,0.0,1.0,0.6666666666666666,10.833333333333334,0.6666666666666666,0.07083333333333335
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,instantaneous,0.26666666666666666,0.09999999999999999,7.833333333333333,5.833333333333333,0.0,4.376163873370578,6.166666666666667,0.16666666666666666,0.16666666666666666,0.0,0.0,10.0,10.0,0.09999999999999999
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,majority_vote,0.26666666666666666,0.11527777777777777,3.5,1.5,0.0,1.9553072625698322,1.0,0.16666666666666666,0.16666666666666666,1.0,2.4,10.833333333333334,12.0,0.11527777777777777
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,margin_dual_threshold,0.2777777777777778,0.06111111111111111,2.5,0.6666666666666666,0.16666666666666666,1.3966480446927374,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0,10.833333333333334,0.0,0.06111111111111111
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,moving_average,0.275,0.09166666666666666,4.166666666666667,2.1666666666666665,0.0,2.3277467411545625,2.1666666666666665,0.16666666666666666,0.0,1.0,1.8333333333333333,10.833333333333334,1.8333333333333333,0.09166666666666666
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,sprt,0.26944444444444443,0.059722222222222225,1.8333333333333333,0.0,0.16666666666666666,1.0242085661080074,0.0,0.16666666666666666,0.0,0.8,0.5,10.666666666666666,0.5,0.059722222222222225
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,trust_model,0.27777777777777785,0.08611111111111112,2.1666666666666665,0.3333333333333333,0.16666666666666666,1.2104283054003724,0.0,0.16666666666666666,0.0,1.8,3.0,11.5,3.0,0.08611111111111112
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,trust_model_single,0.2777777777777778,0.08888888888888889,2.8333333333333335,0.8333333333333334,0.0,1.5828677839851022,1.1666666666666667,0.16666666666666666,0.0,1.4,3.1666666666666665,11.166666666666666,3.1666666666666665,0.08888888888888889
0A986513-7828-4D53-AA1F-E02D6DF9561B,debounce,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
0A986513-7828-4D53-AA1F-E02D6DF9561B,ewma,0.0,0.013888888888888888,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,1.6666666666666667,0.013888888888888888
0A986513-7828-4D53-AA1F-E02D6DF9561B,hysteresis,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
0A986513-7828-4D53-AA1F-E02D6DF9561B,instantaneous,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,majority_vote,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
0A986513-7828-4D53-AA1F-E02D6DF9561B,margin_dual_threshold,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,moving_average,0.0,0.015277777777777777,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,1.8333333333333333,0.015277777777777777
0A986513-7828-4D53-AA1F-E02D6DF9561B,sprt,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,trust_model,0.016666666666666666,0.03888888888888889,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,4.666666666666667,1.0,4.666666666666667,0.03888888888888889
0A986513-7828-4D53-AA1F-E02D6DF9561B,trust_model_single,0.011111111111111112,0.025000000000000005,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.6666666666666666,3.0,0.6666666666666666,3.0,0.025000000000000005
136562B6-95B2-483D-88DC-065F28409FD2,debounce,0.016666666666666666,0.022222222222222223,2.6666666666666665,0.6666666666666666,0.0,1.48975791433892,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.022222222222222223
136562B6-95B2-483D-88DC-065F28409FD2,ewma,0.002777777777777778,0.024999999999999998,2.6666666666666665,0.6666666666666666,0.0,1.48975791433892,0.3333333333333333,0.0,0.0,0.16666666666666666,1.5,0.16666666666666666,1.5,0.024999999999999998
