mechanism,mean,median,count
debounce,-0.00013440860215053582,-0.04375,31
ewma,-0.012586206896551724,-0.061805555555555565,29
hysteresis,0.001442652329749101,-0.036111111111111115,31
instantaneous,-0.008970306513409961,-0.06041666666666667,29
majority_vote,-0.0006496415770609317,-0.04375,31
margin_dual_threshold,-0.026461352657004826,-0.06111111111111111,23
moving_average,-0.010353942652329747,-0.052083333333333336,31
sprt,-0.0052155172413793065,-0.060416666666666674,29
trust_model,0.004690860215053766,-0.030555555555555558,31
trust_model_single,-0.005385304659498208,-0.04444444444444445,31
