run,mechanism,FAR_frame,FRR_time,detection_delay,miss_rate,false_locks_per_hour_pooled,pingpong_per_hour
main,threshold,0.4333333333333333,0.0010799136069114,2.0,0.25,0.2352282273872865,0.0647948164146868
main,moving_average,0.4302083333333333,0.0032397408207343,1.0,0.1875,0.217026043125175,0.0886262924667651
main,ewma,0.459375,0.0028818443804034,2.0,0.1875,0.233828059367124,0.0864553314121037
main,majority_vote,0.4,0.0053050397877984,1.0,0.125,0.1876225147017642,0.0886262924667651
main,debounce,0.35,0.0086455331412103,1.0,0.125,0.2072248669840381,0.111731843575419
main,margin,0.3135416666666666,0.0057636887608069,1.0,0.125,0.1554186502380286,0.0468384074941451
main,hysteresis,0.2614583333333333,0.015850144092219,1.0,0.125,0.1918230187622515,0.0864553314121037
main,trust,0.3458333333333333,0.0187319884726224,2.0,0.125,0.2184262111453374,0.111731843575419
main,sprt,0.196875,0.0262123197903014,1.0,0.0625,0.1708204984598152,0.0
main,hmm,0.2604166666666667,0.0209698558322411,1.0,0.125,0.1834220106412769,0.0795755968169761
sens_motion_dynamics,threshold,0.54375,0.0015444015444015,3.0,0.375,0.2282273872864744,0.0926640926640926
sens_motion_dynamics,moving_average,0.578125,0.0025987525987525,2.5,0.25,0.2296275553066368,0.1247401247401247
sens_motion_dynamics,ewma,0.5697916666666667,0.0015592515592515,3.0,0.3125,0.2254270512461495,0.062047569803516
sens_motion_dynamics,majority_vote,0.5416666666666666,0.0031185031185031,2.5,0.25,0.2058246989638756,0.099009900990099
sens_motion_dynamics,debounce,0.4854166666666666,0.0144092219020172,2.5,0.25,0.1764211705404648,0.0777705767984446
sens_motion_dynamics,margin,0.4989583333333333,0.001696352841391,3.0,0.3125,0.1750210025203024,0.0614124872057318
sens_motion_dynamics,hysteresis,0.4,0.0159216166564605,1.5,0.25,0.17362083450014,0.0493827160493827
sens_motion_dynamics,trust,0.484375,0.0042689434364994,3.0,0.25,0.120414449733968,0.0
sens_motion_dynamics,sprt,0.3229166666666667,0.0395010395010395,1.5,0.1875,0.1442173060767292,0.0
sens_motion_dynamics,hmm,0.3635416666666666,0.0135135135135135,3.0,0.25,0.1316157938952674,0.035820895522388
sens_original_features,threshold,0.321875,0.003088803088803,0.5,0.125,0.4144497339680762,0.2316602316602316
sens_original_features,moving_average,0.3645833333333333,0.0017910447761194,1.0,0.125,0.3024362923550826,0.066334991708126
sens_original_features,ewma,0.3687499999999999,0.0026525198938992,2.0,0.125,0.313637636516382,0.1220338983050847
sens_original_features,majority_vote,0.2927083333333333,0.0033898305084745,1.0,0.0625,0.2716325959115094,0.0935550935550935
sens_original_features,debounce,0.2697916666666666,0.0103397341211226,1.0,0.0625,0.2156258751050126,0.0508905852417302
sens_original_features,margin,0.1854166666666666,0.0077611940298507,0.0,0.0625,0.2520302436292355,0.099009900990099
sens_original_features,hysteresis,0.2020833333333333,0.0132939438700147,1.0,0.0625,0.1680201624194903,0.0463320463320463
sens_original_features,trust,0.2864583333333333,0.0164728682170542,2.0,0.0625,0.1694203304396527,0.0375704445835942
sens_original_features,sprt,0.1145833333333333,0.0455426356589147,1.0,0.0625,0.1764211705404648,0.0
sens_original_features,hmm,0.18125,0.0331412103746397,1.0,0.0625,0.1750210025203024,0.0
sens_all_participants,threshold,0.2979166666666666,0.0015636349454738,0.25,0.1875,0.2517711641542242,0.096527818197104
sens_all_participants,moving_average,0.3197916666666667,0.0018949900807009,1.0,0.125,0.2474600140830902,0.1007797204967192
sens_all_participants,ewma,0.3270833333333333,0.0016410105028697,1.0,0.125,0.2465977840688634,0.0548450094384624
sens_all_participants,majority_vote,0.2635416666666667,0.005266003660092,1.0,0.0625,0.2112463534855648,0.0990791763341067
sens_all_participants,debounce,0.2546874999999999,0.0065427235852526,1.0,0.0625,0.1827927630160806,0.0582402842227378
sens_all_participants,margin,0.2208333333333333,0.0029957306353819,0.0,0.125,0.1577880926035035,0.0648648269804038
sens_all_participants,hysteresis,0.1958333333333333,0.0139379626582617,1.0,0.0625,0.1931395231868021,0.045654778788212
sens_all_participants,trust,0.2911458333333333,0.0093542220616347,2.0,0.0625,0.1715837728311322,0.0478573811907145
sens_all_participants,sprt,0.1177083333333333,0.0099093587493761,0.0,0.0625,0.1560636325750499,0.0488827926208651
sens_all_participants,hmm,0.1802083333333333,0.0119230962806381,1.0,0.0625,0.1707215428169054,0.0611442668294688
