mechanism,chosen_params,calib_FAR,calib_FRR,target_FAR,tolerance,feasible_interval,n_candidates,n_feasible_candidates,feasible_operating_point_exists,constraint_satisfied,nearest_candidate_direction,achievable_min_FAR,achievable_max_FAR,enrolled_user
instantaneous,{'theta': 0.907612140826461},0.0694444444444444,0.1930555555555555,0.07,0.01,"[0.060000000000000005, 0.08]",73,11,True,True,within_interval,0.0,0.9694444444444444,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
moving_average,"{'theta': 0.8850491556499083, 'w': 10}",0.0722222222222222,0.1416666666666666,0.07,0.01,"[0.060000000000000005, 0.08]",292,4,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
ewma,"{'theta': 0.894862983691981, 'alpha': 0.5}",0.0638888888888888,0.1680555555555555,0.07,0.01,"[0.060000000000000005, 0.08]",292,1,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
majority_vote,"{'theta': 0.9071614248918118, 'w': 3, 'k': 2}",0.0694444444444444,0.1916666666666666,0.07,0.01,"[0.060000000000000005, 0.08]",365,30,True,True,within_interval,0.0,0.9972222222222222,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
debounce,"{'theta': 0.9071614248918118, 'n': 2}",0.0694444444444444,0.1902777777777777,0.07,0.01,"[0.060000000000000005, 0.08]",292,20,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
margin_dual_threshold,"{'theta': 0.894862983691981, 'margin': 0.05}",0.0722222222222222,0.1625,0.07,0.01,"[0.060000000000000005, 0.08]",292,56,True,True,within_interval,0.0,0.9944444444444444,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
hysteresis,"{'theta': 0.9555049310045355, 'margin': 0.05, 'ttt_frames': 10}",0.0722222222222222,0.5625,0.07,0.01,"[0.060000000000000005, 0.08]",876,102,True,True,within_interval,0.0027777777777777,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
trust_model,"{'theta': 0.894862983691981, 'gain': 0.6, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.0694444444444444,0.1958333333333333,0.07,0.01,"[0.060000000000000005, 0.08]",657,73,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
sprt,"{'A': 16, 'B': 1, 'mu_gen': 0.9354700751605606, 'sd_gen': 0.054936724117615285, 'mu_imp': 0.6526158769982953, 'sd_imp': 0.2212267131273918}",0.1166666666666666,0.1194444444444444,0.07,0.01,"[0.060000000000000005, 0.08]",25,0,False,False,above_interval,0.1166666666666666,0.2944444444444444,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
instantaneous,{'theta': 0.8441231460532932},0.0694444444444444,0.0,0.07,0.01,"[0.060000000000000005, 0.08]",79,13,True,True,within_interval,0.0,0.9694444444444444,0A986513-7828-4D53-AA1F-E02D6DF9561B
moving_average,"{'theta': 0.8180885495223733, 'w': 3}",0.0694444444444444,0.0125,0.07,0.01,"[0.060000000000000005, 0.08]",316,42,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
ewma,"{'theta': 0.8062248617395674, 'alpha': 0.3}",0.0694444444444444,0.0222222222222222,0.07,0.01,"[0.060000000000000005, 0.08]",316,16,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
majority_vote,"{'theta': 0.8672175087983911, 'w': 3, 'k': 2}",0.0694444444444444,0.0069444444444444,0.07,0.01,"[0.060000000000000005, 0.08]",395,40,True,True,within_interval,0.0,0.9888888888888888,0A986513-7828-4D53-AA1F-E02D6DF9561B
debounce,"{'theta': 0.8663244720965309, 'n': 2}",0.0722222222222222,0.0069444444444444,0.07,0.01,"[0.060000000000000005, 0.08]",316,58,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
margin_dual_threshold,"{'theta': 0.8441231460532932, 'margin': 0.05}",0.0722222222222222,0.0,0.07,0.01,"[0.060000000000000005, 0.08]",316,10,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
hysteresis,"{'theta': 0.7896548202614382, 'margin': 0.2, 'ttt_frames': 2}",0.0722222222222222,0.0069444444444444,0.07,0.01,"[0.060000000000000005, 0.08]",948,158,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
trust_model,"{'theta': 0.85105989190548, 'gain': 0.3, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.0694444444444444,0.1180555555555555,0.07,0.01,"[0.060000000000000005, 0.08]",711,95,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
sprt,"{'A': 1, 'B': 16, 'mu_gen': 0.9581692254448076, 'sd_gen': 0.023032323437457924, 'mu_imp': 0.40852963870733483, 'sd_imp': 0.23713179747243304}",0.0222222222222222,0.0,0.07,0.01,"[0.060000000000000005, 0.08]",25,0,False,False,below_interval,0.0,0.0222222222222222,0A986513-7828-4D53-AA1F-E02D6DF9561B
instantaneous,{'theta': 0.8482075811732197},0.0722222222222222,0.0361111111111111,0.07,0.01,"[0.060000000000000005, 0.08]",79,12,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
moving_average,"{'theta': 0.8848852401405701, 'w': 20}",0.075,0.1875,0.07,0.01,"[0.060000000000000005, 0.08]",316,7,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
ewma,"{'theta': 0.8536309434415644, 'alpha': 0.1}",0.0694444444444444,0.15,0.07,0.01,"[0.060000000000000005, 0.08]",316,16,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
majority_vote,"{'theta': 0.8435650136665365, 'w': 3, 'k': 2}",0.0694444444444444,0.0375,0.07,0.01,"[0.060000000000000005, 0.08]",395,23,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
debounce,"{'theta': 0.9726178055447091, 'n': 10}",0.0694444444444444,0.6736111111111112,0.07,0.01,"[0.060000000000000005, 0.08]",316,26,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
