metric,median,q25,q75,min,max
AUC,0.9817067001106932,0.965000503280352,0.994066248377199,0.7391258586306226,0.9999417951144712
EER,0.074036530194665,0.0390868649096945,0.1064508513589282,9.800078400627204e-05,0.3116666330936218
FAR@0.5,0.0598918736273019,0.0290347228117836,0.0933856155195542,0.0005880047040376,0.2731809824008405
FRR@0.5,0.0812603648424544,0.0302853814793244,0.1438923395445134,0.0,0.8590909090909091
"genuine mass in (0.4,0.6)",0.0349050826699326,0.0189793336145086,0.0534311157674175,0.0,0.265658747300216
"impostor mass in (0.4,0.6)",0.0240524781341107,0.0172910662824207,0.0435884439939178,0.0,0.2210839681288854
test frames within 90 s of a train frame,0.0,0.0,0.0,0.0,0.0
transitions/h at theta=0.5 (genuine test),3.233312921004287,1.817122888759464,5.513513513513514,0.0,14.44924406047516
