target_name,mechanism,target,val_false_locks_per_hour,test_false_locks_per_hour,test_over_target
primary,threshold,0.125,0.1203554684766636,0.4144497339680762,3.3155978717446097
primary,moving_average,0.125,0.1189559862850745,0.3024362923550826,2.419490338840661
primary,ewma,0.125,0.1287523616261983,0.313637636516382,2.509101092131056
primary,majority_vote,0.125,0.1315513260093765,0.2716325959115094,2.173060767292075
primary,debounce,0.125,0.1427471835420894,0.2156258751050126,1.7250070008401008
primary,margin,0.125,0.1203554684766636,0.2520302436292355,2.016241949033884
primary,hysteresis,0.125,0.1329508082009656,0.1680201624194903,1.3441612993559224
primary,trust,0.125,0.1385487369673221,0.1694203304396527,1.3553626435172217
primary,sprt,0.125,0.1357497725841438,0.1764211705404648,1.4113693643237184
primary,hmm,0.125,0.1385487369673221,0.1750210025203024,1.4001680201624191
sensitivity_1,threshold,0.5,0.5429990903365755,0.844301316157939,1.688602632315878
sensitivity_1,moving_average,0.5,0.5541949478692884,0.600672080649678,1.201344161299356
sensitivity_1,ewma,0.5,0.4968161780141347,0.4788574628955475,0.957714925791095
sensitivity_1,majority_vote,0.5,0.5667902875935903,0.6412769532343882,1.2825539064687763
sensitivity_1,debounce,0.5,0.5653908054020012,0.6048725847101653,1.2097451694203305
sensitivity_1,margin,0.5,0.5499965012945209,0.7924950994119295,1.584990198823859
sensitivity_1,hysteresis,0.5,0.5122104821216149,0.5012601512181463,1.0025203024362925
sensitivity_1,trust,0.5,0.3806591561122384,0.3472416690002801,0.6944833380005602
sensitivity_1,sprt,0.5,0.5206073752711496,0.6314757770932512,1.2629515541865024
sensitivity_1,hmm,0.5,0.5639913232104121,0.6300756090730888,1.2601512181461776
sensitivity_2,threshold,0.0416667,0.0475823945140298,0.2366283954074489,5.679076946517216
sensitivity_2,moving_average,0.0416667,0.0391855013644951,0.1778213385606273,4.267708711288086
sensitivity_2,ewma,0.0416667,0.0447834301308515,0.2184262111453374,5.2422248737081985
sensitivity_2,majority_vote,0.0416667,0.0433839479392624,0.1652198263791655,3.965272660881843
sensitivity_2,debounce,0.0416667,0.037786019172906,0.1610193223186782,3.8644606440797613
sensitivity_2,margin,0.0416667,0.0461829123224406,0.1890226827219266,4.5365407560936335
sensitivity_2,hysteresis,0.0416667,0.0447834301308515,0.1022122654718566,2.4530924088506314
sensitivity_2,trust,0.0416667,0.0391855013644951,0.0826099131895827,1.9826363304409205
sensitivity_2,sprt,0.0416667,0.0825694493037576,0.1064127695323439,2.553904425652713
sensitivity_2,hmm,0.0416667,0.0727730739626338,0.2716325959115094,6.519177086534556
