enrolled_user,mechanism,FAR,FRR,n_transitions,transition_rate_per_100,n_flip_events,mean_run_length_frames,detection_latency_frames,recovery_latency_frames,lockout_fraction_during_genuine,detected,recovered
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,debounce,0.0166666666666666,0.015277777777777751,2.3333333333333335,1.3035381750465551,0.3333333333333333,56.0,1.0,1.5,0.015277777777777751,1.0,1.0
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,ewma,0.0,0.02361111111111107,2.1666666666666665,1.2104283054003726,0.0,57.5,0.0,2.6666666666666665,0.02361111111111107,1.0,1.0
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,hysteresis,0.08888888888888889,0.5708333333333333,1.0,0.5586592178770949,0.0,90.0,5.333333333333333,,0.5708333333333333,1.0,0.0
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,instantaneous,0.0,0.008333333333333316,3.5,1.9553072625698327,1.5,45.75,0.0,0.5,0.008333333333333316,1.0,1.0
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,majority_vote,0.0166666666666666,0.018055555555555533,2.5,1.3966480446927374,0.3333333333333333,53.5,1.0,1.5,0.018055555555555533,1.0,1.0
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,margin_dual_threshold,0.0,0.0027777777777777666,2.3333333333333335,1.3035381750465551,0.5,56.0,0.0,0.5,0.0027777777777777666,1.0,1.0
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,moving_average,0.0166666666666666,0.03611111111111109,2.1666666666666665,1.2104283054003726,0.0,57.5,1.0,4.166666666666667,0.03611111111111109,1.0,1.0
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,sprt,0.0,0.006944444444444434,2.3333333333333335,1.3035381750465551,0.3333333333333333,56.0,0.0,1.0,0.006944444444444434,1.0,1.0
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,trust_model,0.022222222222222168,0.0694444444444444,2.0,1.11731843575419,0.0,60.0,1.3333333333333333,8.333333333333334,0.0694444444444444,1.0,1.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,debounce,0.0166666666666666,0.0083333333333333,2.0,1.11731843575419,0.0,60.0,1.0,1.0,0.0083333333333333,1.0,1.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,ewma,0.0027777777777777666,0.0083333333333333,2.0,1.11731843575419,0.0,60.0,0.16666666666666666,1.0,0.0083333333333333,1.0,1.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,hysteresis,0.1805555555555555,0.006944444444444417,1.6666666666666667,0.9310986964618251,0.0,80.0,1.0,0.8333333333333334,0.006944444444444417,0.8333333333333334,1.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,instantaneous,0.0027777777777777666,0.0,2.3333333333333335,1.3035381750465551,0.3333333333333333,56.0,0.0,0.0,0.0,1.0,1.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,majority_vote,0.0166666666666666,0.0083333333333333,2.0,1.11731843575419,0.0,60.0,1.0,1.0,0.0083333333333333,1.0,1.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,margin_dual_threshold,0.0027777777777777666,0.0,2.3333333333333335,1.3035381750465551,0.3333333333333333,56.0,0.0,0.0,0.0,1.0,1.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,moving_average,0.0083333333333333,0.013888888888888834,2.0,1.11731843575419,0.0,60.0,0.5,1.6666666666666667,0.013888888888888834,1.0,1.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,sprt,0.0027777777777777666,0.0,2.3333333333333335,1.3035381750465551,0.3333333333333333,56.0,0.0,0.0,0.0,1.0,1.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,trust_model,0.0472222222222222,0.0319444444444444,2.0,1.11731843575419,0.0,60.0,2.8333333333333335,3.8333333333333335,0.0319444444444444,1.0,1.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,debounce,0.024999999999999998,0.6541666666666667,1.3333333333333333,0.7448789571694601,0.0,80.0,1.5,34.5,0.6541666666666667,1.0,0.3333333333333333
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,ewma,0.008333333333333333,0.036111111111111066,2.3333333333333335,1.3035381750465551,0.5,56.0,0.6666666666666666,4.333333333333333,0.036111111111111066,1.0,1.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,hysteresis,0.0333333333333333,0.5,1.0,0.5586592178770949,0.0,90.0,2.0,,0.5,1.0,0.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,instantaneous,0.008333333333333333,0.0,3.0,1.675977653631285,1.0,53.333333333333336,0.0,0.0,0.0,1.0,1.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,majority_vote,0.0333333333333333,0.0166666666666666,2.0,1.11731843575419,0.0,60.0,2.0,2.0,0.0166666666666666,1.0,1.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,margin_dual_threshold,0.013888888888888883,0.0,3.0,1.675977653631285,1.0,53.333333333333336,0.0,0.0,0.0,1.0,1.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,moving_average,0.00555555555555555,0.0166666666666666,2.3333333333333335,1.3035381750465551,0.3333333333333333,56.0,0.16666666666666666,2.0,0.0166666666666666,1.0,1.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,sprt,0.00555555555555555,0.0,2.3333333333333335,1.3035381750465551,0.3333333333333333,56.0,0.0,0.0,0.0,1.0,1.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,trust_model,0.022222222222222185,0.04999999999999999,2.0,1.11731843575419,0.0,60.0,1.3333333333333333,6.0,0.04999999999999999,1.0,1.0
