enrolled_user,sequence_id,impostor_user,mechanism,params,length,transition_idx,recovery_idx,FAR,FRR,false_accept_frames,false_reject_frames,n_impostor_frames,n_genuine_frames,n_transitions,transition_rate_per_100,n_flip_events,mean_run_length_frames,median_run_length_frames,frac_frames_authenticated,detection_latency_frames,lockout_frames_during_genuine,lockout_fraction_during_genuine,recovery_latency_frames,detected,recovered
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s4,8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,hysteresis,"{""theta"": 0.8581375964917549, ""margin"": 0.05, ""ttt_frames"": 2}",180,60,120,0.0166666666666666,0.0583333333333333,1,7,60,120,4,2.23463687150838,2,36.0,53.0,0.6333333333333333,1.0,7,0.0583333333333333,1.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s4,8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,trust_model,"{""theta"": 0.9094825068332683, ""gain"": 0.6, ""decay"": 0.05, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",180,60,120,0.0,0.15,0,18,60,120,2,1.11731843575419,0,60.0,52.0,0.5666666666666667,0.0,18,0.15,10.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s4,8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,sprt,"{""A"": 16, ""B"": 16, ""mu_gen"": 0.9373256431949326, ""sd_gen"": 0.04683634533917442, ""mu_imp"": 0.5104993709054623, ""sd_imp"": 0.30259174967565355}",180,60,120,0.0,0.1166666666666666,0,14,60,120,2,1.11731843575419,0,60.0,54.0,0.5888888888888889,0.0,14,0.1166666666666666,6.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s5,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,instantaneous,"{""theta"": 0.8686570750608237}",180,60,120,0.0,0.0083333333333333,0,1,60,120,4,2.23463687150838,2,36.0,41.0,0.6611111111111111,0.0,1,0.0083333333333333,0.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s5,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,moving_average,"{""theta"": 0.8466102484005646, ""w"": 10}",180,60,120,0.0333333333333333,0.0666666666666666,2,8,60,120,2,1.11731843575419,0,60.0,62.0,0.6333333333333333,2.0,8,0.0666666666666666,8.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s5,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,ewma,"{""theta"": 0.8697353798095695, ""alpha"": 0.1}",180,60,120,0.0333333333333333,0.15,2,18,60,120,2,1.11731843575419,0,60.0,62.0,0.5777777777777777,2.0,18,0.15,18.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s5,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,majority_vote,"{""theta"": 0.8745429970264019, ""w"": 5, ""k"": 3}",180,60,120,0.0333333333333333,0.0166666666666666,2,2,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,2.0,2,0.0166666666666666,2.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s5,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,debounce,"{""theta"": 0.8561427327065748, ""n"": 3}",180,60,120,0.0333333333333333,0.0166666666666666,2,2,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,2.0,2,0.0166666666666666,2.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s5,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,margin_dual_threshold,"{""theta"": 0.8505466614603671, ""margin"": 0.05}",180,60,120,0.0,0.0,0,0,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,0.0,0,0.0,0.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s5,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,hysteresis,"{""theta"": 0.8581375964917549, ""margin"": 0.05, ""ttt_frames"": 2}",180,60,120,0.0166666666666666,0.0416666666666666,1,5,60,120,2,1.11731843575419,0,60.0,61.0,0.6444444444444445,1.0,5,0.0416666666666666,5.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s5,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,trust_model,"{""theta"": 0.9094825068332683, ""gain"": 0.6, ""decay"": 0.05, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",180,60,120,0.0333333333333333,0.2333333333333333,2,28,60,120,2,1.11731843575419,0,60.0,62.0,0.5222222222222223,2.0,28,0.2333333333333333,28.0,True,True
136562B6-95B2-483D-88DC-065F28409FD2,136562B6_s5,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,sprt,"{""A"": 16, ""B"": 16, ""mu_gen"": 0.9373256431949326, ""sd_gen"": 0.04683634533917442, ""mu_imp"": 0.5104993709054623, ""sd_imp"": 0.30259174967565355}",180,60,120,0.0166666666666666,0.1083333333333333,1,13,60,120,2,1.11731843575419,0,60.0,61.0,0.6,1.0,13,0.1083333333333333,13.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s0,806289BC-AD52-4CC1-806C-0CDB14D65EB6,instantaneous,"{""theta"": 0.867532641945833}",180,60,120,0.0,0.0,0,0,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,0.0,0,0.0,0.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s0,806289BC-AD52-4CC1-806C-0CDB14D65EB6,moving_average,"{""theta"": 0.8648709990300678, ""w"": 3}",180,60,120,0.0,0.0166666666666666,0,2,60,120,2,1.11731843575419,0,60.0,60.0,0.6555555555555556,0.0,2,0.0166666666666666,2.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s0,806289BC-AD52-4CC1-806C-0CDB14D65EB6,ewma,"{""theta"": 0.8692350966201596, ""alpha"": 0.2}",180,60,120,0.0,0.0583333333333333,0,7,60,120,2,1.11731843575419,0,60.0,60.0,0.6277777777777778,0.0,7,0.0583333333333333,7.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s0,806289BC-AD52-4CC1-806C-0CDB14D65EB6,majority_vote,"{""theta"": 0.869716929045736, ""w"": 3, ""k"": 2}",180,60,120,0.0166666666666666,0.0083333333333333,1,1,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,1.0,1,0.0083333333333333,1.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s0,806289BC-AD52-4CC1-806C-0CDB14D65EB6,debounce,"{""theta"": 0.8702818771916735, ""n"": 2}",180,60,120,0.0166666666666666,0.0083333333333333,1,1,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,1.0,1,0.0083333333333333,1.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s0,806289BC-AD52-4CC1-806C-0CDB14D65EB6,margin_dual_threshold,"{""theta"": 0.8557284190106693, ""margin"": 0.05}",180,60,120,0.0,0.0,0,0,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,0.0,0,0.0,0.0,True,True
