feature_set,model,n_users,AUC_mean,AUC_lo,AUC_hi,EER_mean,EER_lo,EER_hi,FAR_mean,FAR_lo,FAR_hi,FRR_mean,FRR_lo,FRR_hi,runtime_median_s
F2_STAGE1_COMPARABLE,gradient_boosting,2,0.996922448356157,0.9947651384745338,0.9990797582377802,0.024741105027756935,0.013183124749681915,0.03629908530583195,0.034066300183241714,0.03081792437114776,0.03731467599533567,0.0167212291662035,0.00440205429200291,0.02904040404040409,12.850992441177368
F2_STAGE1_COMPARABLE,logistic_regression,2,0.9318721456183998,0.9113040281206197,0.9524402631161798,0.11382671011367301,0.08585689424791149,0.14179652597943454,0.1425537231384308,0.11869065467266367,0.1664167916041979,0.04557358248664195,0.04419191919191923,0.046955245781364674,3.417421579360962
F3_NO_LOC_NO_DEVSTATE,gradient_boosting,2,0.9804124317204237,0.9608279132627378,0.9999969501781096,0.0514270689445735,0.0017557509124225944,0.10109838697672441,0.03752290521405964,0.0,0.07504581042811928,0.062379573430563884,0.008838383838383868,0.1159207630227439,15.250712513923645
F3_NO_LOC_NO_DEVSTATE,logistic_regression,2,0.94568260724212,0.8925386597481403,0.9988265547360998,0.09723279478893694,0.008951963412233274,0.1855136261656406,0.08891387639513577,0.0004164584374479427,0.1774112943528236,0.10152886161690267,0.010101010101010055,0.19295671313279528,2.50846266746521
F6_MISSINGNESS_ONLY,gradient_boosting,2,0.8522524249547648,0.8242009467264411,0.8803039031830886,0.2785755836620697,0.19387181409295354,0.3632793532311858,0.32296351824087954,0.2869398634016325,0.3589871730801266,0.2879524333577892,0.20833333333333337,0.367571533382245,1.5190982818603516
F6_MISSINGNESS_ONLY,logistic_regression,2,0.869891406845205,0.853083118504333,0.886699695186077,0.2614410174828769,0.1979682507231233,0.3249137842426305,0.26211894052973517,0.1926536731634183,0.331584207896052,0.11484757701742293,0.026412325752017574,0.2032828282828283,0.5196876525878906
