enrolled_user,feature_set,model,n_features,n_genuine_train,n_genuine_calib,n_genuine_test,n_impostor_train,n_impostor_calib,n_impostor_test,n_test_impostor_participants,n_test_segments,genuine_test_span_hours,fit_seconds,total_seconds,AUC,AP_genuine_positive,EER_test_oracle,eer_threshold_test_oracle,EER_calibration,cal_EER_threshold_threshold,cal_EER_threshold_FAR,cal_EER_threshold_FRR,cal_EER_threshold_HTER,cal_EER_threshold_n_genuine,cal_EER_threshold_n_impostor,fixed_0.5_threshold,fixed_0.5_FAR,fixed_0.5_FRR,fixed_0.5_HTER,fixed_0.5_n_genuine,fixed_0.5_n_impostor,cal_FAR0.01_threshold,cal_FAR0.01_FAR,cal_FAR0.01_FRR,cal_FAR0.01_HTER,cal_FAR0.01_n_genuine,cal_FAR0.01_n_impostor,cal_FAR0.001_threshold,cal_FAR0.001_FAR,cal_FAR0.001_FRR,cal_FAR0.001_HTER,cal_FAR0.001_n_genuine,cal_FAR0.001_n_impostor
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F2_STAGE1_COMPARABLE,gradient_boosting,103,4087,1363,1363,12000,6000,12006,23,5,116.87722222222222,15.713007688522339,15.863901138305664,0.9990797582377802,0.9924737777957636,0.013183124749681915,0.718995613150363,0.05773019075568597,0.28636970624271607,0.03081792437114776,0.00440205429200291,0.017609989331575336,1363,12006,0.5,0.02007329668499084,0.00880410858400582,0.01443870263449833,1363,12006,0.9531217354399195,0.0034982508745627187,0.06236243580337486,0.03293034333896879,1363,12006,0.9961619571128083,0.0002498750624687656,0.21570066030814383,0.1079752676853063,1363,12006
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F2_STAGE1_COMPARABLE,logistic_regression,103,4087,1363,1363,12000,6000,12006,23,5,116.87722222222222,3.55465030670166,3.6104698181152344,0.9524402631161798,0.5295770712198694,0.08585689424791149,0.7045843096157778,0.21411665443873806,0.5758858665687182,0.11869065467266367,0.046955245781364674,0.08282295022701416,1363,12006,0.5,0.1387639513576545,0.02861335289801903,0.08368865212783677,1363,12006,0.9848407373686539,0.008912210561385974,0.9611151870873074,0.4850136988243467,1363,12006,0.998880167017907,0.0013326669998334167,0.9992663242846662,0.5002994956422498,1363,12006
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F3_NO_LOC_NO_DEVSTATE,gradient_boosting,119,4087,1363,1363,12000,6000,12006,23,5,116.87722222222222,16.107836723327637,16.277806758880615,0.9608279132627378,0.8364439245530458,0.10109838697672441,1.1586560316802586e-06,0.10207379554903398,1.7374789175680808e-06,0.07504581042811928,0.1159207630227439,0.09548328672543159,1363,12006,0.5,0.0,1.0,0.5,1363,12006,4.070621849094327e-05,0.0074962518740629685,0.35583272193690385,0.1816644869054834,1363,12006,0.0005703700586343661,0.0005830418124271198,0.8950843727072634,0.4478337072598452,1363,12006
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F3_NO_LOC_NO_DEVSTATE,logistic_regression,119,4087,1363,1363,12000,6000,12006,23,5,116.87722222222222,2.9790382385253906,3.04646897315979,0.8925386597481403,0.3904028305270775,0.1855136261656406,0.0012040139394989746,0.112159696747371,0.0013458161433509367,0.1774112943528236,0.19295671313279528,0.18518400374280944,1363,12006,0.5,0.001415958687323005,0.9985326485693323,0.4999743036283277,1363,12006,0.030313524311649784,0.02623688155922039,0.7410124724871607,0.3836246770231906,1363,12006,0.5843226535772915,0.001082791937364651,0.9985326485693323,0.49980772025334846,1363,12006
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F6_MISSINGNESS_ONLY,gradient_boosting,225,4087,1363,1363,12000,6000,12006,23,5,116.87722222222222,1.4869928359985352,1.6810271739959717,0.8242009467264411,0.3447141849164514,0.3632793532311858,0.5872369017288178,0.3763483736854977,0.5872369017288178,0.3589871730801266,0.367571533382245,0.3632793532311858,1363,12006,0.5,0.476511744127936,0.015407190022010298,0.24595946707497315,1363,12006,0.8035795054141589,0.0944527736131934,0.38151137197358764,0.2379820727933905,1363,12006,0.8035795054141589,0.0944527736131934,0.38151137197358764,0.2379820727933905,1363,12006
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F6_MISSINGNESS_ONLY,logistic_regression,225,4087,1363,1363,12000,6000,12006,23,5,116.87722222222222,0.47059130668640137,0.5558266639709473,0.853083118504333,0.36017818054938533,0.3249137842426305,0.6365955970312767,0.1831485693323551,0.623675730145899,0.331584207896052,0.026412325752017574,0.17899826682403477,1363,12006,0.5,0.4052973513243378,0.01614086573734408,0.21071910853084094,1363,12006,0.7810945257719689,0.0944527736131934,0.38151137197358764,0.2379820727933905,1363,12006,0.7810945257719689,0.0944527736131934,0.38151137197358764,0.2379820727933905,1363,12006
0A986513-7828-4D53-AA1F-E02D6DF9561B,F2_STAGE1_COMPARABLE,gradient_boosting,103,2376,792,792,12000,6000,12006,23,1,13.185833333333333,9.702357053756714,9.838083744049072,0.9947651384745338,0.9336812384301143,0.03629908530583195,0.24077236664474572,0.054229797979797975,0.22684979495354127,0.03731467599533567,0.02904040404040409,0.03317754001786988,792,12006,0.5,0.018074296185240712,0.06060606060606055,0.039340178395650634,792,12006,0.8356543230754084,0.005830418124271198,0.13762626262626265,0.07172834037526693,792,12006,0.9755050940907029,0.0015825420623021822,0.3244949494949495,0.16303874577862584,792,12006
0A986513-7828-4D53-AA1F-E02D6DF9561B,F2_STAGE1_COMPARABLE,logistic_regression,103,2376,792,792,12000,6000,12006,23,1,13.185833333333333,3.167217493057251,3.2243733406066895,0.9113040281206197,0.24957781236463555,0.14179652597943454,0.5398745505116506,0.27813888888888894,0.4293396626091158,0.1664167916041979,0.04419191919191923,0.10530435539805856,792,12006,0.5,0.15134099616858238,0.10479797979797978,0.12806948798328108,792,12006,1.0,0.008828918873896386,1.0,0.5044144594369482,792,12006,1.0,0.008828918873896386,1.0,0.5044144594369482,792,12006
0A986513-7828-4D53-AA1F-E02D6DF9561B,F3_NO_LOC_NO_DEVSTATE,gradient_boosting,119,2376,792,792,12000,6000,12006,23,1,13.185833333333333,14.065581560134888,14.223618268966675,0.9999969501781096,0.9999551844927616,0.0017557509124225944,0.00012303404601776105,0.0,0.9988586824030701,0.0,0.008838383838383868,0.004419191919191934,792,12006,0.5,8.329168748958855e-05,0.0037878787878787845,0.0019355852376841864,792,12006,1.3423278899437052e-05,0.008162585373979677,0.0,0.0040812926869898385,792,12006,0.00017693895574147697,0.001832417124770948,0.0012626262626262985,0.0015475216936986233,792,12006
0A986513-7828-4D53-AA1F-E02D6DF9561B,F3_NO_LOC_NO_DEVSTATE,logistic_regression,119,2376,792,792,12000,6000,12006,23,1,13.185833333333333,1.912189245223999,1.9704563617706299,0.9988265547360998,0.9855059025738265,0.008951963412233274,0.044648819804840936,0.0012146464646464825,0.9497457538802582,0.0004164584374479427,0.010101010101010055,0.005258734269228999,792,12006,0.5,0.0016658337497917708,0.010101010101010055,0.005883421925400913,792,12006,0.03559374793222414,0.011577544561052807,0.005050505050505083,0.008314024805778945,792,12006,0.9497457538802582,0.0004164584374479427,0.010101010101010055,0.005258734269228999,792,12006
