uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2000,0.6847290404329024,0.759
0A986513-7828-4D53-AA1F-E02D6DF9561B,2000,0.31688273016632873,0.1965
136562B6-95B2-483D-88DC-065F28409FD2,2000,0.22021393643109988,0.153
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2000,0.4369526865153029,0.4575
27E04243-B138-4F40-A164-F40B60165CF3,2000,0.0012419467690602537,0.0
4E98F91F-4654-42EF-B908-A3389443F2E7,2000,0.00011540970580857193,0.0
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2000,0.22131676840643666,0.164
59818CD2-24D7-4D32-B133-24C2FE3801E5,2000,3.025175955327238e-05,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2000,0.36282438936091854,0.137
665514DE-49DC-421F-8DCB-145D0B2609AD,2000,0.0002619805594202059,0.0
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2000,7.10898130292196e-05,0.0
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2000,0.37416019821888497,0.324
7CE37510-56D0-4120-A1CF-0E23351428D2,2000,0.4573730506447283,0.478
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2000,0.29934847983277674,0.1715
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2000,4.974947495432555e-05,0.0
86A4F379-B305-473D-9D83-FC7D800180EF,2000,0.00017947092722668385,0.0
96A358A0-FFF2-4239-B93E-C7425B901B47,2000,0.0008856292066936945,0.0
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2000,8.893484882120939e-05,0.0
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,0.00022603210447861088,0.0
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2000,0.3511320271757539,0.389
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2000,0.5676475957618968,0.5475
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2000,0.53001085091059,0.4945
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2000,0.8896148062335605,0.98
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2000,0.7923317906724385,0.997
