partition,params_str,mechanism,target_name,genuine_uuid,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks,genuine_hours,false_locks_per_hour,frr_time,transitions_per_hour,pingpong_per_hour,pingpong_locks_per_hour,lockout_mean_frames,X_n_sequences,X_ania_median,X_ania_mean,X_first_lock_median,X_miss_rate,X_far_frame,X_fa_frames,X_impostor_frames,X_recovery_median,X_recovery_censored_rate,X_locked_at_switch_rate,X_locked_at_return_rate,M_n_sequences,M_ania_median,M_ania_mean,M_first_lock_median,M_miss_rate,M_far_frame,M_fa_frames,M_impostor_frames,M_recovery_median,M_recovery_censored_rate,M_locked_at_switch_rate,M_locked_at_return_rate
test,"k=2, theta=0.1192",moving_average,primary,A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,1179,2,2,4,2,2,2,19.65,0.10178117048346057,0.0016963528413910093,0.20356234096692113,0.10178117048346057,0.10178117048346057,1.0,16,1.0,3.625,1.0,0.0,0.20520833333333333,91,412,0.0,0.0,0.0,0.9375,16,1.0,2.5,1.0,0.0625,0.27708333333333335,71,412,0.0,0.0,0.0,0.875
test,"k=2, theta=0.1192",moving_average,primary,A7599A50-24AE-46A6-8EA6-2576F1011D81,752,1,1,2,3,1,1,12.533333333333333,0.0797872340425532,0.003989361702127659,0.1595744680851064,0.0797872340425532,0.0797872340425532,3.0,16,1.0,2.4375,1.0,0.125,0.284375,67,412,0.0,0.0,0.0,0.75,16,1.0,5.875,1.0,0.25,0.3572916666666667,111,412,0.0,0.0,0.0,0.625
test,"k=2, theta=0.1192",moving_average,primary,A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,1475,0,0,0,0,0,0,24.583333333333332,0.0,0.0,0.0,0.0,0.0,,16,6.5,12.875,2.0,0.3125,0.596875,238,412,0.0,0.0,0.0,0.5,16,2.0,7.0,1.0,0.125,0.39375,177,412,0.0,0.0,0.0,0.75
test,"k=2, theta=0.1192",moving_average,primary,B09E373F-8A54-44C8-895B-0039390B859F,1597,1,1,2,2,1,1,26.616666666666667,0.03757044458359424,0.0012523481527864746,0.07514088916718847,0.03757044458359424,0.03757044458359424,2.0,16,2.0,10.5,1.0,0.375,0.540625,198,412,0.0,0.0,0.0,0.5,16,3.0,12.375,2.5,0.375,0.5645833333333333,231,412,0.0,0.0,0.0,0.625
test,"k=2, theta=0.1192",moving_average,primary,B7F9D634-263E-4A97-87F9-6FFB4DDCB36C,1737,4,3,7,9,3,2,28.95,0.1381692573402418,0.0051813471502590676,0.24179620034542315,0.10362694300518135,0.0690846286701209,2.25,16,1.0,1.0,1.0,0.0,0.16145833333333334,38,412,0.0,0.0,0.0,1.0,16,1.0,5.0625,1.0,0.125,0.296875,133,412,0.0,0.0,0.0,0.8125
test,"k=2, theta=0.1192",moving_average,primary,B9724848-C7E2-45F4-9B3F-A1F38D864495,1497,26,26,52,63,34,22,24.95,1.0420841683366733,0.04208416833667335,2.0841683366733466,1.3627254509018036,0.8817635270541082,2.423076923076923,16,1.0,7.5625,1.0,0.25,0.440625,185,412,0.0,0.0,0.0,0.5,16,1.0,1.6875,1.0,0.1875,0.2916666666666667,85,412,0.0,0.0,0.1875,0.6875
test,"k=2, theta=0.1192",moving_average,primary,BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,1633,42,42,84,161,62,34,27.216666666666665,1.543172075933864,0.09859154929577464,3.086344151867728,2.2780159216166567,1.2492345376607472,3.8333333333333335,16,1.0,5.75,1.0,0.1875,0.30833333333333335,111,412,0.0,0.0,0.125,0.75,16,1.0,10.625,1.0,0.25,0.39479166666666665,172,412,0.0,0.0,0.1875,0.75
test,"k=2, theta=0.1192",moving_average,primary,BEF6C611-50DA-4971-A040-87FB979F3FC1,617,0,0,0,0,0,0,10.283333333333333,0.0,0.0,0.0,0.0,0.0,,16,1.0,0.9375,1.0,0.0,0.12395833333333332,19,412,0.0,0.0,0.0,1.0,16,1.0,1.0,1.0,0.0,0.12083333333333333,16,412,0.0,0.0,0.0,1.0
test,"k=2, theta=0.1192",moving_average,primary,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,937,0,0,0,0,0,0,15.616666666666667,0.0,0.0,0.0,0.0,0.0,,16,2.5,5.0,1.5,0.125,0.3625,130,412,0.0,0.0,0.0,0.5625,16,1.0,2.125,1.0,0.25,0.42604166666666665,146,412,0.0,0.0,0.0,0.5
test,"k=2, theta=0.1192",moving_average,primary,CA820D43-E5E2-42EF-9798-BE56F776370B,1543,6,6,12,14,6,5,25.716666666666665,0.2333117303953338,0.009073233959818535,0.4666234607906676,0.2333117303953338,0.19442644199611148,2.3333333333333335,16,5.5,17.5625,3.5,0.5625,0.6270833333333333,277,412,0.0,0.0,0.125,0.4375,16,2.5,4.8125,1.0,0.25,0.5239583333333333,207,412,0.0,0.0,0.0,0.4375
test,"k=2, theta=0.1192",moving_average,primary,CCAF77F0-FABB-4F2F-9E24-D56AD0C5A82F,1586,0,0,0,0,0,0,26.433333333333334,0.0,0.0,0.0,0.0,0.0,,16,1.0,1.0,1.0,0.0,0.12083333333333333,16,412,0.0,0.0,0.0,1.0,16,1.0,1.0,1.0,0.0,0.12083333333333333,16,412,0.0,0.0,0.0,1.0
test,"k=2, theta=0.1192",moving_average,primary,CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,537,1,1,2,4,1,1,8.95,0.111731843575419,0.0074487895716946,0.223463687150838,0.111731843575419,0.111731843575419,4.0,16,1.0,5.8125,1.0,0.25,0.42291666666666666,138,412,0.0,0.0,0.0,0.5625,16,3.0,6.125,2.0,0.375,0.6125,198,412,0.0,0.0,0.0,0.4375
test,"k=2, theta=0.1192",moving_average,primary,CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,694,2,2,4,2,2,2,11.566666666666666,0.1729106628242075,0.002881844380403458,0.345821325648415,0.1729106628242075,0.1729106628242075,1.0,16,3.0,8.875,1.0,0.5,0.5479166666666666,138,412,0.0,0.0,0.0,0.5,16,1.5,13.5,1.0,0.3125,0.5177083333333333,226,412,0.0,0.0,0.0,0.5625
test,"k=2, theta=0.1192",moving_average,primary,D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,1212,2,2,4,5,2,2,20.2,0.09900990099009901,0.004125412541254125,0.19801980198019803,0.09900990099009901,0.09900990099009901,2.5,16,1.0,6.4375,1.0,0.1875,0.37083333333333335,146,412,0.0,0.0,0.0,0.6875,16,3.0,7.5625,1.0,0.5,0.5510416666666667,151,412,0.0,0.0,0.0,0.375
test,"k=2, theta=0.1192",moving_average,primary,E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,657,18,18,36,143,22,11,10.95,1.6438356164383563,0.2176560121765601,3.2876712328767126,2.0091324200913245,1.0045662100456623,7.944444444444445,16,1.0,3.6875,1.0,0.0,0.190625,95,412,0.0,0.0,0.125,0.75,16,1.0,10.5,1.0,0.1875,0.3625,184,412,0.0,0.0,0.25,0.6875
test,"k=2, theta=0.1192",moving_average,primary,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,677,0,0,0,0,0,0,11.283333333333333,0.0,0.0,0.0,0.0,0.0,,16,1.0,4.125,1.0,0.25,0.3645833333333333,115,412,0.0,0.0,0.0,0.6875,16,3.5,3.875,1.0,0.1875,0.4479166666666667,152,412,0.0,0.0,0.0,0.5
test,"k=2, theta=0.1192",moving_average,primary,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,966,5,5,10,8,7,5,16.1,0.3105590062111801,0.008281573498964804,0.6211180124223602,0.43478260869565216,0.3105590062111801,1.6,16,1.0,3.0625,1.0,0.125,0.3375,116,412,0.0,0.0,0.0,0.75,16,1.0,8.3125,1.0,0.1875,0.425,183,412,0.0,0.0,0.0,0.6875
test,"alpha=0.7, theta=0.1301",ewma,primary,00EABED2-271D-49D8-B599-1D4A09240601,408,11,11,22,52,14,9,6.8,1.6176470588235294,0.12745098039215685,3.235294117647059,2.058823529411765,1.3235294117647058,4.7272727272727275,16,1.0,6.4375,1.0,0.125,0.25625,105,412,0.0,0.0,0.125,0.8125,16,1.0,3.5,1.0,0.125,0.2760416666666667,71,412,0.0,0.0,0.125,0.75
test,"alpha=0.7, theta=0.1301",ewma,primary,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,1334,1,1,2,1,1,1,22.233333333333334,0.04497751124437781,0.0007496251874062968,0.08995502248875561,0.04497751124437781,0.04497751124437781,1.0,16,1.0,2.25,1.0,0.0625,0.25937499999999997,87,412,0.0,0.0,0.0,0.875,16,1.0,6.0,1.0,0.0,0.3520833333333333,174,412,0.0,0.0,0.0,0.875
test,"alpha=0.7, theta=0.1301",ewma,primary,0A986513-7828-4D53-AA1F-E02D6DF9561B,763,1,1,2,8,0,0,12.716666666666667,0.07863695937090433,0.010484927916120577,0.15727391874180865,0.0,0.0,8.0,16,2.0,9.125,2.0,0.25,0.440625,161,412,0.0,0.0,0.0,0.625,16,1.0,5.0,1.0,0.125,0.39166666666666666,136,412,0.0,0.0,0.0,0.6875
test,"alpha=0.7, theta=0.1301",ewma,primary,0BFC35E2-4817-4865-BFA7-764742302A2D,556,7,7,14,42,9,5,9.266666666666667,0.7553956834532374,0.07553956834532374,1.5107913669064748,0.9712230215827338,0.539568345323741,6.0,16,1.0,2.8125,1.0,0.0625,0.26458333333333334,52,412,0.0,0.0,0.0,0.8125,16,1.0,1.75,1.0,0.0625,0.2552083333333333,61,412,0.0,0.0,0.0,0.8125
test,"alpha=0.7, theta=0.1301",ewma,primary,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,1279,0,0,0,0,0,0,21.316666666666666,0.0,0.0,0.0,0.0,0.0,,16,1.0,3.4375,1.0,0.0625,0.24375,60,412,0.0,0.0,0.0,0.9375,16,1.0,1.625,1.0,0.125,0.2625,72,412,0.0,0.0,0.0,0.8125
test,"alpha=0.7, theta=0.1301",ewma,primary,11B5EC4D-4133-4289-B475-4E737182A406,1740,0,0,0,0,0,0,29.0,0.0,0.0,0.0,0.0,0.0,,16,1.0,2.0625,1.0,0.125,0.31145833333333334,69,412,0.0,0.0,0.0,0.8125,16,1.0,2.0,1.0,0.0,0.21770833333333334,63,412,0.0,0.0,0.0,0.875
test,"alpha=0.7, theta=0.1301",ewma,primary,136562B6-95B2-483D-88DC-065F28409FD2,1215,3,3,6,13,2,2,20.25,0.14814814814814814,0.010699588477366255,0.2962962962962963,0.09876543209876543,0.09876543209876543,4.333333333333333,16,3.5,14.4375,3.0,0.5625,0.6895833333333333,283,412,0.0,0.0,0.0,0.3125,16,5.0,13.9375,4.5,0.4375,0.6166666666666667,234,412,0.0,0.0,0.0,0.5
test,"alpha=0.7, theta=0.1301",ewma,primary,1538C99F-BA1E-4EFB-A949-6C7C47701B20,1281,8,8,16,48,13,7,21.35,0.37470725995316156,0.03747072599531616,0.7494145199063231,0.6088992974238876,0.32786885245901637,6.0,16,1.5,6.125,1.0,0.1875,0.340625,119,412,0.0,0.0,0.0625,0.6875,16,1.5,7.375,1.5,0.1875,0.4375,153,412,0.0,0.0,0.0625,0.6875
test,"alpha=0.7, theta=0.1301",ewma,primary,1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,1423,0,0,0,0,0,0,23.716666666666665,0.0,0.0,0.0,0.0,0.0,,16,1.0,1.1875,1.0,0.0,0.13020833333333334,24,412,0.0,0.0,0.0,0.9375,16,1.0,1.9375,1.0,0.0625,0.225,55,412,0.0,0.0,0.0,0.875
test,"alpha=0.7, theta=0.1301",ewma,primary,24E40C4C-A349-4F9F-93AB-01D00FB994AF,926,10,10,20,16,13,10,15.433333333333334,0.6479481641468683,0.017278617710583154,1.2958963282937366,0.8423326133909287,0.6479481641468683,1.6,16,1.0,10.125,1.0,0.3125,0.4708333333333333,172,412,0.0,0.0,0.0,0.5625,16,1.5,5.3125,1.0,0.1875,0.4166666666666667,150,412,0.0,0.0,0.0,0.625
test,"alpha=0.7, theta=0.1301",ewma,primary,27E04243-B138-4F40-A164-F40B60165CF3,947,1,1,2,1,1,1,15.783333333333333,0.06335797254487856,0.0010559662090813093,0.12671594508975711,0.06335797254487856,0.06335797254487856,1.0,16,1.0,1.625,1.0,0.0625,0.18541666666666667,24,412,0.0,0.0,0.0,0.9375,16,1.0,1.0,1.0,0.0,0.134375,26,412,0.0,0.0,0.0,0.9375
