target_name,target_false_locks_per_hour,tolerance,selection_condition,mechanism,cell_id,params,sweep_name,sweep_value,params_str,in_band,n_in_band_cells,n_rate_band_cells,n_excluded_absorbing,max_lockout_frames,val_lockout_mean_frames,val_frr_time,n_cells,val_false_locks_per_hour,val_ania_median,val_far_frame,val_miss_rate,val_transitions_per_hour,best_smoother
sensitivity_1,0.5,0.15,M,sprt,sprt|1|59,"{""alpha"": 0.01}",beta,0.4897788193684462,"alpha=0.01, beta=0.4898",True,6,6,0,30.0,6.546125461254612,0.0510907912736698,300,0.4682842537259701,0.0,0.0642299107142857,0.0357142857142857,0.912376700986392,margin
sensitivity_1,0.5,0.15,M,hmm,hmm|1|123,"{""rho"": 0.001}",theta,0.995033198349943,"rho=0.001, theta=0.995",True,30,31,1,30.0,5.941265060240964,0.0568075455396356,705,0.5736914104687162,0.0,0.055078125,0.0267857142857142,1.1240550075599394,margin
sensitivity_2,0.0416667,0.15,M,threshold,threshold|0|33,{},theta,0.0241270214176692,theta=0.02413,True,4,4,0,30.0,1.2777777777777777,0.0009935920512635,141,0.0466556267549859,0.25,0.3568266369047619,0.2421875,0.0924472604219166,margin
sensitivity_2,0.0416667,0.15,M,moving_average,moving_average|0|41,"{""k"": 2}",theta,0.0521535630784177,"k=2, theta=0.05215",True,13,13,0,30.0,1.9803921568627447,0.001454388364893,705,0.04406364749082,1.0,0.3774553571428571,0.1863839285714285,0.0881272949816401,margin
sensitivity_2,0.0416667,0.15,M,ewma,ewma|5|44,"{""alpha"": 0.7}",theta,0.0691384203433468,"alpha=0.7, theta=0.06914",True,14,14,0,30.0,2.0545454545454547,0.0016271869825041,846,0.0475196198430412,2.0,0.4388206845238095,0.1763392857142857,0.0950392396860825,margin
sensitivity_2,0.0416667,0.15,M,majority_vote,majority_vote|0|42,"{""k"": 3}",theta,0.0573241758988687,"k=3, theta=0.05732",True,11,11,0,30.0,2.803921568627451,0.0020591835265317,564,0.04406364749082,1.0,0.348046875,0.1540178571428571,0.0881272949816401,margin
sensitivity_2,0.0416667,0.15,M,debounce,debounce|0|45,"{""T"": 2}",theta,0.0758581800212435,"T=2, theta=0.07586",True,10,11,1,30.0,4.057692307692308,0.0030383756929944,564,0.0449276405788753,1.0,0.3259486607142857,0.1395089285714285,0.0898552811577507,margin
sensitivity_2,0.0416667,0.15,M,margin,margin|1|45,"{""m"": 0.1}",theta,0.0758581800212435,"m=0.1, theta=0.07586",True,4,4,0,30.0,2.2641509433962264,0.0017279861761105,564,0.0457916336669306,0.0,0.2854910714285714,0.1741071428571428,0.0898552811577507,margin
sensitivity_2,0.0416667,0.15,M,hysteresis,hysteresis|12|58,"{""T"": 2, ""m"": 0.3}",theta,0.2314752165009824,"m=0.3, T=2, theta=0.2315",True,38,51,13,30.0,9.125,0.0063071495428036,2256,0.0414716682266541,1.0,0.2821056547619047,0.1261160714285714,0.0829433364533083,margin
sensitivity_2,0.0416667,0.15,M,trust,trust|11|61,"{""r"": 0.5, ""tau"": 0.5}",theta,0.2890504973749961,"r=0.5, tau=0.5, theta=0.2891",True,19,36,17,30.0,11.9375,0.008251133990928,1692,0.0414716682266541,3.0,0.4561011904761903,0.3102678571428571,0.0812153502771977,margin
sensitivity_2,0.0416667,0.15,M,sprt,sprt|1|16,"{""alpha"": 0.01}",beta,1.217373177901226e-06,"alpha=0.01, beta=1.217e-06",True,74,74,0,30.0,21.78181818181818,0.017251061991504,300,0.0475196198430412,2.0,0.349032738095238,0.1428571428571428,0.0889912880696954,margin
sensitivity_2,0.0416667,0.15,M,hmm,hmm|4|0,"{""rho"": 0.1}",theta,0.0009110511944006,"rho=0.1, theta=0.0009111",False,0,0,0,30.0,1.579710144927536,0.0015695874433004,705,0.0596155230758153,1.0,0.3753162202380952,0.1841517857142857,0.1192310461516307,margin
