mechanism,n_users,n_sequences,detection_rate,recovery_rate,FAR_mean,FAR_lo,FAR_hi,FAR_median,FRR_mean,FRR_lo,FRR_hi,FRR_median,n_transitions_mean,n_transitions_lo,n_transitions_hi,n_transitions_median,transition_rate_per_100_mean,transition_rate_per_100_lo,transition_rate_per_100_hi,transition_rate_per_100_median,n_flip_events_mean,n_flip_events_lo,n_flip_events_hi,n_flip_events_median,mean_run_length_frames_mean,mean_run_length_frames_lo,mean_run_length_frames_hi,mean_run_length_frames_median,detection_latency_frames_mean,detection_latency_frames_lo,detection_latency_frames_hi,detection_latency_frames_median,recovery_latency_frames_mean,recovery_latency_frames_lo,recovery_latency_frames_hi,recovery_latency_frames_median,lockout_fraction_during_genuine_mean,lockout_fraction_during_genuine_lo,lockout_fraction_during_genuine_hi,lockout_fraction_during_genuine_median
instantaneous,31,179,0.9892473118279569,0.9784946236559141,0.025268817204301075,0.005640681003584227,0.05062724014336916,0.0,0.08008960573476699,0.03718839605734766,0.1399466845878136,0.01666666666666665,6.076344086021505,4.4266129032258075,8.106559139784945,4.333333333333333,3.394605634648886,2.472968102360785,4.528803988706673,2.420856610800745,3.894623655913978,2.3150268817204296,5.833521505376343,2.1666666666666665,42.948415831006535,37.13968506045229,48.089025055158686,45.333333333333336,0.7731182795698925,0.17419354838709677,1.505672043010751,0.0,1.3580645161290326,0.3483602150537634,2.906451612903225,0.0,0.08008960573476699,0.03718839605734766,0.1399466845878136,0.01666666666666665
moving_average,31,179,0.9838709677419355,0.9247311827956989,0.06514336917562721,0.03924507168458778,0.09740367383512541,0.027777777777777735,0.1713978494623656,0.11127732974910393,0.2416868279569892,0.12222222222222219,2.5892473118279566,2.213951612903226,3.047311827956989,2.3333333333333335,1.4465068781161772,1.2368444764822493,1.7024088424340726,1.3035381750465551,0.4435483870967742,0.12365591397849462,0.8764112903225801,0.0,58.57678074613559,54.0566534943551,63.795871131556595,57.5,2.4693548387096778,1.6155913978494623,3.5142069892473105,1.5,11.111290322580645,8.602459677419358,13.660255376344088,10.333333333333334,0.1713978494623656,0.11127732974910393,0.2416868279569892,0.12222222222222219
ewma,31,179,0.9892473118279569,0.9623655913978495,0.060215053763440836,0.03426344086021503,0.09211603942652326,0.01666666666666665,0.15331989247311828,0.10731485215053757,0.20546471774193542,0.11527777777777774,2.282795698924731,2.096774193548387,2.517231182795699,2.0,1.2753048597344874,1.1713822310326187,1.4062744037964803,1.11731843575419,0.20430107526881722,0.09139784946236558,0.3440860215053763,0.0,58.928955453149,55.727860983102914,62.45371543778801,60.0,2.483870967741936,1.4073924731182794,3.8904838709677407,1.0,12.830107526881719,9.87784946236559,15.917916666666667,11.333333333333334,0.15331989247311828,0.10731485215053757,0.20546471774193542,0.11527777777777774
majority_vote,31,179,1.0,0.9258064516129032,0.055967741935483824,0.04152284946236556,0.07653001792114685,0.049999999999999954,0.22490591397849458,0.15400380824372759,0.305455085125448,0.14722222222222217,3.3967741935483873,2.8827150537634414,3.9258333333333333,2.8333333333333335,1.8976392142728427,1.610455337298012,2.1932029795158288,1.5828677839851026,0.6005376344086022,0.3375940860215054,0.9026881720430108,0.3333333333333333,48.703313353313355,44.46499626717368,52.8874739104981,48.5,2.8043010752688167,2.191397849462365,3.573118279569892,2.3333333333333335,8.220967741935485,6.322983870967741,10.542029569892474,6.666666666666667,0.22490591397849458,0.15400380824372759,0.305455085125448,0.14722222222222217
debounce,31,179,1.0,0.7150537634408602,0.05803763440860213,0.0463434139784946,0.07069444444444438,0.049999999999999996,0.39142473118279564,0.297361335125448,0.4885344982078853,0.3458333333333333,2.3747311827956987,2.068252688172043,2.6962634408602155,2.0,1.326665465248994,1.1554484291463931,1.5062924250615732,1.11731843575419,0.02150537634408602,0.0,0.06451612903225806,0.0,60.43701996927803,55.64327956989247,65.45720046082948,60.0,3.1166666666666667,2.4967607526881723,3.8297311827956984,3.0,14.809195402298851,10.777816091954024,19.074310344827584,13.25,0.39142473118279564,0.297361335125448,0.4885344982078853,0.3458333333333333
margin_dual_threshold,31,179,0.9838709677419355,0.7580645161290323,0.06520609318996415,0.03219489247311827,0.1035766129032258,0.00333333333333332,0.1654569892473118,0.09331877240143369,0.2522457437275985,0.00555555555555555,2.3548387096774195,1.8600806451612903,2.9409946236559135,2.0,1.3155523517750947,1.0391511984141288,1.6430137562323541,1.11731843575419,0.6021505376344085,0.1935483870967742,1.1344086021505375,0.0,65.76829794365965,59.69455368162877,71.77936217008798,60.0,1.95,0.7633333333333334,3.481451612903225,0.0,1.9756410256410257,0.5608814102564103,3.9660576923076922,0.0,0.1654569892473118,0.09331877240143369,0.2522457437275985,0.00555555555555555
hysteresis,31,179,0.9946236559139785,0.40322580645161293,0.06315412186379925,0.04523207885304655,0.08636245519713258,0.0555555555555555,0.43456093189964157,0.32894265232974906,0.5361944444444443,0.5,1.4623655913978493,1.2849462365591398,1.6452956989247307,1.3333333333333333,0.8169640175406983,0.7178470595302461,0.9191596083378385,0.74487895716946,0.0,0.0,0.0,0.0,77.59677419354838,72.66129032258064,82.3225806451613,85.0,3.3978494623655915,2.5096505376344087,4.366881720430107,2.6666666666666665,8.098039215686276,4.65656862745098,11.573235294117643,6.6,0.43456093189964157,0.32894265232974906,0.5361944444444443,0.5
trust_model,31,179,1.0,0.5559139784946237,0.05244623655913976,0.034415994623655875,0.0750620519713261,0.024999999999999967,0.3538396057347671,0.29131910842293895,0.4157925627240142,0.365,1.6204301075268817,1.4558870967741937,1.7795698924731185,1.8,0.9052682164954649,0.8133447468012255,0.9941731242866584,1.005586592178771,0.0,0.0,0.0,0.0,72.3225806451613,68.03145161290323,76.83870967741936,66.0,3.146774193548387,2.0649596774193553,4.5037231182795665,1.5,24.92391304347826,19.6308152173913,30.481920289855072,24.5,0.3538396057347671,0.29131910842293895,0.4157925627240142,0.365
sprt,31,179,0.9838709677419355,0.9623655913978495,0.05627240143369174,0.0242768817204301,0.10031944444444436,0.0111111111111111,0.07435483870967739,0.030060707885304638,0.14482101254480284,0.023333333333333282,2.3586021505376342,2.1478494623655915,2.6188575268817202,2.0,1.3176548327025897,1.1999159007629008,1.4630488976992855,1.11731843575419,0.22688172043010751,0.0967741935483871,0.3892473118279569,0.0,56.93387096774193,54.370754608294924,59.12701612903225,60.0,1.9569892473118276,0.667715053763441,3.7776075268817193,0.0,3.1077777777777778,1.8733333333333335,4.579666666666662,1.0,0.07435483870967739,0.030060707885304638,0.14482101254480284,0.023333333333333282
