uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2000,0.3044401522641797,0.3835
0A986513-7828-4D53-AA1F-E02D6DF9561B,2000,0.44376693644277965,0.457
136562B6-95B2-483D-88DC-065F28409FD2,2000,0.2861881012407357,0.259
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2000,0.32713036800511935,0.3125
27E04243-B138-4F40-A164-F40B60165CF3,2000,0.4670941613346394,0.6595
4E98F91F-4654-42EF-B908-A3389443F2E7,2000,0.16526278485375645,0.001
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2000,0.3154332828860471,0.3045
59818CD2-24D7-4D32-B133-24C2FE3801E5,2000,0.4955720656232026,0.7015
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2000,0.76746748135118,0.937
665514DE-49DC-421F-8DCB-145D0B2609AD,2000,0.23782251206147312,0.136
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2000,0.1650698461575191,0.0265
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2000,0.351332174401754,0.415
7CE37510-56D0-4120-A1CF-0E23351428D2,2000,0.3393373659494962,0.321
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2000,0.2741584813790684,0.2865
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2000,0.2544426095655949,0.065
86A4F379-B305-473D-9D83-FC7D800180EF,2000,0.17743018350815332,0.006
96A358A0-FFF2-4239-B93E-C7425B901B47,2000,0.5594224234363454,0.8405
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2000,0.24468221577246563,0.075
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,0.1970877230426555,0.03419316136772645
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2000,0.42261675252395253,0.4515
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2000,0.31287235771763466,0.279
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2000,0.40026125685977026,0.4165
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2000,0.4004708503523537,0.487
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2000,0.5355358495547095,0.714
