uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2000,2.5633777900786887e-05,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,2000,9.643978776666097e-07,0.0
136562B6-95B2-483D-88DC-065F28409FD2,2000,0.000446264400007287,0.0005
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2000,2.986180734784795e-06,0.0
27E04243-B138-4F40-A164-F40B60165CF3,2000,1.4266422199727216e-06,0.0
4E98F91F-4654-42EF-B908-A3389443F2E7,2000,1.4978470626148753e-06,0.0
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2000,0.0026046755474158608,0.0175
59818CD2-24D7-4D32-B133-24C2FE3801E5,2000,1.1250954554579255e-06,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2000,5.581789856053357e-05,0.0
665514DE-49DC-421F-8DCB-145D0B2609AD,2000,3.6715736951051097e-06,0.0
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2000,5.936667950981576e-07,0.0
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2000,1.7585931708664255e-06,0.0
7CE37510-56D0-4120-A1CF-0E23351428D2,2000,3.711201614487203e-06,0.0
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2000,4.617605557496295e-06,0.0
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2000,4.68090509274149e-07,0.0
86A4F379-B305-473D-9D83-FC7D800180EF,2000,5.481274063855573e-06,0.0
96A358A0-FFF2-4239-B93E-C7425B901B47,2000,2.1659979216452373e-05,0.0
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2000,5.644770145112203e-07,0.0
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,1.705484183703039e-06,0.0
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2000,0.001724621991528166,0.0165
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2000,2.602302308057888e-06,0.0
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2000,3.953079818676713e-06,0.0
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2000,0.002118764781909027,0.014
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2000,3.430353279326688e-05,0.0
