uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2000,4.7249580135915104e-05,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,2000,3.5426193563929145e-06,0.0
136562B6-95B2-483D-88DC-065F28409FD2,2000,0.0002583459207009226,0.001
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2000,0.49306572265527887,0.7135
27E04243-B138-4F40-A164-F40B60165CF3,2000,4.3514116922942525e-06,0.0
4E98F91F-4654-42EF-B908-A3389443F2E7,2000,7.599196337479781e-07,0.0
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2000,7.4887844395996334e-06,0.0
59818CD2-24D7-4D32-B133-24C2FE3801E5,2000,4.908090086875909e-07,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2000,1.1379998568399347e-06,0.0
665514DE-49DC-421F-8DCB-145D0B2609AD,2000,4.5226419619413e-07,0.0
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2000,2.6900055324618365e-07,0.0
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2000,8.329405598495915e-07,0.0
7CE37510-56D0-4120-A1CF-0E23351428D2,2000,2.6903771667659694e-06,0.0
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2000,1.131258490304536e-06,0.0
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2000,2.6980844543295266e-07,0.0
86A4F379-B305-473D-9D83-FC7D800180EF,2000,6.082250498299142e-07,0.0
96A358A0-FFF2-4239-B93E-C7425B901B47,2000,4.527949909737064e-07,0.0
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2000,3.0760827100392675e-07,0.0
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,4.0481858718304134e-07,0.0
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2000,7.656826138875383e-07,0.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2000,1.05877014117461e-05,0.0
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2000,0.00011339112919884405,0.0005
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2000,8.623634501045328e-07,0.0
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2000,1.9646745219527518e-06,0.0
