uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2000,0.17975455270514407,0.034
0A986513-7828-4D53-AA1F-E02D6DF9561B,2000,0.20591453629370365,0.0815
136562B6-95B2-483D-88DC-065F28409FD2,2000,0.44202450350388583,0.2005
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2000,0.44269179189863783,0.1985
27E04243-B138-4F40-A164-F40B60165CF3,2000,2.0213477626671033e-08,0.0
4E98F91F-4654-42EF-B908-A3389443F2E7,2000,9.174591347811087e-11,0.0
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2000,0.4387276633942969,0.3085
59818CD2-24D7-4D32-B133-24C2FE3801E5,2000,8.386773352339448e-09,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2000,0.6665157615529055,0.5555
665514DE-49DC-421F-8DCB-145D0B2609AD,2000,1.8200905372614963e-08,0.0
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2000,3.294561760845978e-10,0.0
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2000,0.31713278594755295,0.13
7CE37510-56D0-4120-A1CF-0E23351428D2,2000,0.502572371484055,0.3375
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2000,0.31784262643252237,0.086
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2000,1.298193580662846e-09,0.0
86A4F379-B305-473D-9D83-FC7D800180EF,2000,1.7126188458043222e-08,0.0
96A358A0-FFF2-4239-B93E-C7425B901B47,2000,1.5761542920392704e-06,0.0
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2000,2.903725302168584e-10,0.0
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,0.0005888964174923509,0.0005998800239952009
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2000,0.39435981624618655,0.183
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2000,0.5218927838095576,0.178
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2000,0.3135130299903841,0.134
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2000,0.4615077259324528,0.1355
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2000,0.3667034365193081,0.1515
