uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2000,0.045447640012253133,0.0195
0A986513-7828-4D53-AA1F-E02D6DF9561B,2000,0.12498961514421146,0.065
136562B6-95B2-483D-88DC-065F28409FD2,2000,0.14927394393737392,0.053
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2000,0.08656959254135774,0.048
27E04243-B138-4F40-A164-F40B60165CF3,2000,0.0008329701600403511,0.0
4E98F91F-4654-42EF-B908-A3389443F2E7,2000,0.0010789052600342866,0.0
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2000,0.07561409468321278,0.044
59818CD2-24D7-4D32-B133-24C2FE3801E5,2000,0.0010643457325633934,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2000,0.3672658118243651,0.289
665514DE-49DC-421F-8DCB-145D0B2609AD,2000,0.0009772197420966338,0.0
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2000,0.017279422328362725,0.0
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2000,0.047558503998626614,0.0285
7CE37510-56D0-4120-A1CF-0E23351428D2,2000,0.6541268302983094,0.6305
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2000,0.11837672054289491,0.079
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2000,0.0011097784795322987,0.0
86A4F379-B305-473D-9D83-FC7D800180EF,2000,0.00200729574381603,0.0
96A358A0-FFF2-4239-B93E-C7425B901B47,2000,0.0007117069355223205,0.0
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2000,0.0020598362497712044,0.0
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,0.02456610081283984,0.0
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2000,0.04578598245517157,0.014
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2000,0.16171590312488107,0.097
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2000,0.06332934962116783,0.022
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2000,0.17073450350379704,0.106
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2000,0.21150614121294503,0.1085
