Mechanism,Sustained detection M (frames),First lock M (frames),Recovery after return M (frames),Sustained detection X (frames),Missed blocks X
Threshold,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.062 [0.062, 0.188]"
Moving avg,"1.00 [0.50, 1.00]","1.00 [0.50, 1.00]","8.00 [8.00, 8.00]","1.00 [0.00, 1.00]","0.000 [0.000, 0.000]"
EWMA,"1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","19.00 [17.50, 19.50]","1.00 [0.00, 1.00]","0.000 [0.000, 0.000]"
Majority vote,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.000 [0.000, 0.062]"
Debounce,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.000 [0.000, 0.062]"
Margin,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.000 [0.000, 0.062]"
Hysteresis,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.50]","1.00 [1.00, 1.00]","0.000 [0.000, 0.000]"
Trust,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","3.00 [3.00, 4.00]","1.00 [1.00, 1.00]","0.000 [0.000, 0.000]"
SPRT,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.000 [0.000, 0.000]"
HMM (supp.),"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","2.00 [2.00, 2.00]","0.00 [0.00, 0.00]","0.000 [0.000, 0.002]"
