Mechanism,Sustained detection M (frames),First lock M (frames),Recovery after return M (frames),Sustained detection X (frames),Missed blocks X
Threshold,"1.50 [0.00, 3.00]","0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","2.00 [0.00, 3.00]","0.250 [0.188, 0.438]"
Moving avg,"1.50 [1.00, 2.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 2.00]","0.188 [0.125, 0.312]"
EWMA,"2.00 [2.00, 3.00]","2.00 [2.00, 2.50]","0.00 [0.00, 0.00]","2.00 [2.00, 2.50]","0.188 [0.125, 0.312]"
Majority vote,"1.00 [1.00, 1.50]","1.00 [1.00, 1.50]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.188 [0.125, 0.250]"
Debounce,"1.00 [1.00, 1.50]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.188 [0.125, 0.250]"
Margin,"0.00 [0.00, 2.50]","0.00 [0.00, 0.50]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]","0.188 [0.125, 0.375]"
Hysteresis,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.125 [0.125, 0.125]"
Trust,"4.00 [4.00, 4.00]","4.00 [4.00, 4.00]","1.00 [1.00, 1.00]","4.00 [4.00, 4.00]","0.375 [0.250, 0.375]"
SPRT,"2.00 [2.00, 2.00]","2.00 [2.00, 2.00]","1.00 [0.50, 1.00]","2.00 [2.00, 2.00]","0.125 [0.062, 0.125]"
HMM (supp.),"2.00 [2.00, 2.50]","2.00 [2.00, 2.00]","0.00 [0.00, 0.00]","2.00 [2.00, 2.00]","0.188 [0.125, 0.250]"
