genuine_uuid,n_train_genuine,n_train_impostor,n_train_impostor_users,n_features_used,platt_coef,platt_intercept,val_eer,val_auc,val_far_at_0.5,val_frr_at_0.5,val_brier_balanced,val_genuine_frac_p_le_0.4,val_genuine_frac_band_0.4_0.6,val_impostor_frac_p_ge_0.6,val_impostor_frac_band_0.4_0.6,val_genuine_median_p,val_impostor_median_p,val_n_genuine,val_n_impostor,val_eer_raw,test_eer,test_auc,test_far_at_0.5,test_frr_at_0.5,test_brier_balanced,test_genuine_frac_p_le_0.4,test_genuine_frac_band_0.4_0.6,test_impostor_frac_p_ge_0.6,test_impostor_frac_band_0.4_0.6,test_genuine_median_p,test_impostor_median_p,test_n_genuine,test_n_impostor,test_eer_raw,val_frac_within_90s_of_train,test_frac_within_90s_of_train,test_transitions_at_0.5,test_transitions_per_hour_at_0.5,fit_seconds
00EABED2-271D-49D8-B599-1D4A09240601,1372,16000,16,36,1.0209973875948506,-0.26429796120684584,0.0743981029432278,0.9747328776677361,0.06686567164179104,0.07710280373831775,0.05650336793509365,0.07476635514018691,0.004672897196261682,0.050248756218905476,0.03482587064676617,0.969628982020534,0.028768435188253522,428,10050,0.0743981029432278,0.20483947726317847,0.901192618052135,0.06888250368874738,0.337995337995338,0.14822291750172012,0.32400932400932403,0.037296037296037296,0.04807020268696125,0.04434262638813388,0.9119857181135003,0.046515893951752714,429,12877,0.20483947726317847,0.0,0.0,64,8.95104895104895,0.66
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,4087,16000,16,36,1.0095450530031211,1.3952417427492012,0.10802179398105827,0.9689912604673274,0.1286829268292683,0.08095952023988005,0.07074402450489625,0.046476761619190406,0.08395802098950525,0.09121951219512195,0.07804878048780488,0.9707221799295406,0.0009636595474674103,1334,10250,0.10802179398105827,0.09383688236019368,0.9759414797466751,0.17267697004388474,0.053973013493253376,0.07230160434909493,0.031484257871064465,0.047976011994003,0.1175348215989315,0.11305094447624499,0.9984978063769354,0.005636201572219891,1334,10482,0.09383688236019368,0.0,0.0,111,4.9925037481259364,1.12
0A986513-7828-4D53-AA1F-E02D6DF9561B,2376,16000,16,36,1.160378832446765,0.6618779305286577,0.14418461432205631,0.9447454024488482,0.15486646352392902,0.13237221494102228,0.09613761899958125,0.0891218872870249,0.10484927916120576,0.10485750134432693,0.10476787954830614,0.9414465071436198,0.05478609828316515,763,11158,0.14418461432205631,0.1557252608322298,0.9369275816024075,0.13405727464924083,0.17562254259501967,0.10561933600145865,0.1310615989515072,0.09043250327653997,0.08908322121852777,0.09571401114741496,0.8705859251204838,0.016092669964741603,763,10406,0.1557252608322298,0.0,0.0,176,13.840104849279161,0.76
11B5EC4D-4133-4289-B475-4E737182A406,5307,16000,16,36,0.7310406942737583,0.8329597050821801,0.11910678861164567,0.9657433025899617,0.10175160637267847,0.12650948821161587,0.07496649689833951,0.09430707303047729,0.08223116733755031,0.05958982483936273,0.10421617815333158,0.9977899589442413,0.014927489291123941,1739,11361,0.11910678861164567,0.07779013718946977,0.9815160811893741,0.09490114464099896,0.06609195402298851,0.056763499575535115,0.045402298850574715,0.05517241379310345,0.05369406867845994,0.10312174817898023,0.9979698253281231,0.019043037615819974,1740,9610,0.07779013718946977,0.0,0.0,126,4.344827586206897,1.06
136562B6-95B2-483D-88DC-065F28409FD2,3730,16000,16,36,0.47223052620822903,-0.23912506202118702,0.17742704691025354,0.9143870546409069,0.14281589837359254,0.22304526748971193,0.12279910823370624,0.10781893004115227,0.21975308641975308,0.09671831392551246,0.15907997305360408,0.9185781912836135,0.15860730111859692,1215,10391,0.17742704691025354,0.1348956197283958,0.9549680555886908,0.05530505199227018,0.2641975308641975,0.09652423780216088,0.11358024691358025,0.24691358024691357,0.01831232170792307,0.13159105548909542,0.7912630460228096,0.04411131251647059,1215,10867,0.1348956197283958,0.0,0.0,246,12.148148148148149,0.96
1538C99F-BA1E-4EFB-A949-6C7C47701B20,3929,16000,16,36,0.8928572073461429,0.6260837432642595,0.17598329525916773,0.9091485594874914,0.19296523517382413,0.15378610460577674,0.12162055766126853,0.10460577673692428,0.13036690085870414,0.1439672801635992,0.10756646216768916,0.8334987801593577,0.12424110450357286,1281,12225,0.17598329525916773,0.09835986917966716,0.9693073068020566,0.10066212455618463,0.0936768149882904,0.07078929337778364,0.06791569086651054,0.078064012490242,0.07168218021303138,0.06352557336148162,0.9244916825923152,0.023879194766984687,1281,10421,0.09835986917966716,0.0,0.0,168,7.868852459016393,1.17
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2862,16000,16,36,0.5260457384219857,0.5247159579006702,0.29609661385523456,0.7853941817234364,0.3710604375231739,0.2,0.18314465491247942,0.10054054054054054,0.26054054054054054,0.2590841675936225,0.20022246941045607,0.6625709424124355,0.3439336281932135,925,10788,0.29609661385523456,0.2373288211809365,0.8455014339072409,0.3105356975326016,0.13498920086393087,0.15892858764281342,0.052915766738660906,0.25161987041036715,0.20067548550520686,0.20874378459517778,0.6676340729697323,0.3183299730678689,926,10659,0.2373288211809365,0.0,0.0,178,11.533477321814255,1.14
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,5109,16000,16,36,0.9626876944373716,0.20760408296281194,0.09638482390066637,0.9705222356165649,0.1059260092207354,0.0884109916367981,0.06898105751829793,0.06391875746714457,0.06033452807646356,0.07691442707747667,0.062296188013043964,0.977053357455374,0.005748380154672167,1674,8893,0.09638482390066637,0.11276976593568577,0.9616101116252626,0.12477910858040447,0.10029850746268656,0.07818440407130796,0.06686567164179104,0.07402985074626865,0.09247987433732574,0.0683290791282152,0.9651611739194805,0.008603746777769946,1675,10186,0.11276976593568577,0.0,0.0,226,8.0955223880597,1.18
3600D531-0C55-44A7-AE95-A7A38519464E,3121,16000,16,36,0.8566091244532308,0.03438599472101369,0.15204519661857746,0.9397361788790807,0.16876058094983515,0.13457760314341846,0.09977963594298221,0.0618860510805501,0.1787819253438114,0.09881493361846208,0.14015860286910808,0.9693554694066098,0.04805566721752359,1018,11223,0.15204519661857746,0.26354499479954907,0.8180173306843213,0.2430167597765363,0.3140096618357488,0.17789596076862657,0.18647342995169083,0.2811594202898551,0.16609368285345938,0.1542758917060593,0.6171999746963045,0.1689943605269964,1035,9308,0.26354499479954907,0.0,0.0,396,22.956521739130434,0.91
4FC32141-E888-4BFF-8804-12559A491D8C,2987,16000,16,36,0.47688148000296954,0.9193640955860579,0.2926330671474479,0.8088610145807367,0.34252552578759055,0.2202688728024819,0.17295823813127045,0.09927611168562564,0.32885211995863495,0.2088314861680775,0.22244523954969891,0.638597700057908,0.28364651112716305,967,11459,0.2926330671474479,0.15726445786879825,0.939687473147444,0.2898170037649943,0.08583247156153051,0.11049048944391393,0.04963805584281282,0.09824198552223372,0.16863672182821118,0.209351195166798,0.9701386523775821,0.22801622222736728,967,11421,0.15726445786879825,0.0,0.0,67,4.157187176835574,0.95
