enrolled_user,target,cell,margin,dwell,cell_class,theta,sequence_id,impostor_user,FAR,FRR,false_accept_frames,false_reject_frames,n_impostor_frames,n_genuine_frames,n_transitions,transition_rate_per_100,n_flip_events,mean_run_length_frames,median_run_length_frames,frac_frames_authenticated,detection_latency_frames,lockout_frames_during_genuine,lockout_fraction_during_genuine,recovery_latency_frames,excess_transitions,fewer_than_2_transitions,detection_failure,recovery_failure,detection_latency_censored,recovery_latency_censored,detection_censored_flag,recovery_censored_flag,detection_censor_cap,recovery_censor_cap
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k3,0.0,3,dwell_only,0.8422653077888049,098A72A5_tsts1,B9724848-C7E2-45F4-9B3F-A1F38D864495,0.03333333333333333,0.016666666666666666,2,2,60,120,2,1.1173184357541899,0,60.0,60.0,0.6666666666666666,2.0,2,0.016666666666666666,2.0,0,0,0,0,2.0,2.0,0,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k3,0.0,3,dwell_only,0.8422653077888049,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,0.03333333333333333,0.16666666666666666,2,20,60,120,6,3.35195530726257,0,25.714285714285715,11.0,0.5666666666666667,2.0,20,0.16666666666666666,2.0,4,0,0,0,2.0,2.0,0,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k3,0.0,3,dwell_only,0.8422653077888049,098A72A5_tsts3,11B5EC4D-4133-4289-B475-4E737182A406,1.0,0.48333333333333334,60,58,60,120,1,0.5586592178770949,0,90.0,90.0,0.6777777777777778,,58,0.48333333333333334,,0,1,1,1,60.0,60.0,1,1,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k3,0.0,3,dwell_only,0.8422653077888049,098A72A5_tsts4,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,0.03333333333333333,0.016666666666666666,2,2,60,120,2,1.1173184357541899,0,60.0,60.0,0.6666666666666666,2.0,2,0.016666666666666666,2.0,0,0,0,0,2.0,2.0,0,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k3,0.0,3,dwell_only,0.8422653077888049,098A72A5_tsts5,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,0.5666666666666667,0.0,34,0,60,120,2,1.1173184357541899,0,60.0,62.0,0.8555555555555555,2.0,0,0.0,0.0,0,0,0,0,2.0,0.0,0,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k5,0.0,5,dwell_only,0.8898002508925986,098A72A5_tsts0,665514DE-49DC-421F-8DCB-145D0B2609AD,0.06666666666666667,0.03333333333333333,4,4,60,120,2,1.1173184357541899,0,60.0,60.0,0.6666666666666666,4.0,4,0.03333333333333333,4.0,0,0,0,0,4.0,4.0,0,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k5,0.0,5,dwell_only,0.8898002508925986,098A72A5_tsts1,B9724848-C7E2-45F4-9B3F-A1F38D864495,0.06666666666666667,0.03333333333333333,4,4,60,120,2,1.1173184357541899,0,60.0,60.0,0.6666666666666666,4.0,4,0.03333333333333333,4.0,0,0,0,0,4.0,4.0,0,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k5,0.0,5,dwell_only,0.8898002508925986,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,0.06666666666666667,0.25,4,30,60,120,4,2.2346368715083798,0,36.0,29.0,0.5222222222222223,4.0,30,0.25,4.0,2,0,0,0,4.0,4.0,0,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k5,0.0,5,dwell_only,0.8898002508925986,098A72A5_tsts3,11B5EC4D-4133-4289-B475-4E737182A406,1.0,0.4666666666666667,60,56,60,120,1,0.5586592178770949,0,90.0,90.0,0.6888888888888889,,56,0.4666666666666667,0.0,0,1,1,0,60.0,0.0,1,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k5,0.0,5,dwell_only,0.8898002508925986,098A72A5_tsts4,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,0.06666666666666667,0.03333333333333333,4,4,60,120,2,1.1173184357541899,0,60.0,60.0,0.6666666666666666,4.0,4,0.03333333333333333,4.0,0,0,0,0,4.0,4.0,0,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k5,0.0,5,dwell_only,0.8898002508925986,098A72A5_tsts5,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,0.5666666666666667,0.0,34,0,60,120,2,1.1173184357541899,0,60.0,64.0,0.8555555555555555,4.0,0,0.0,0.0,0,0,0,0,4.0,0.0,0,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k10,0.0,10,dwell_only,0.9678664479397858,098A72A5_tsts0,665514DE-49DC-421F-8DCB-145D0B2609AD,0.0,0.925,0,111,60,120,1,0.5586592178770949,0,90.0,90.0,0.05,0.0,111,0.925,,0,1,0,1,0.0,60.0,0,1,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k10,0.0,10,dwell_only,0.9678664479397858,098A72A5_tsts1,B9724848-C7E2-45F4-9B3F-A1F38D864495,0.0,0.925,0,111,60,120,1,0.5586592178770949,0,90.0,90.0,0.05,0.0,111,0.925,,0,1,0,1,0.0,60.0,0,1,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k10,0.0,10,dwell_only,0.9678664479397858,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,0.0,0.925,0,111,60,120,1,0.5586592178770949,0,90.0,90.0,0.05,0.0,111,0.925,,0,1,0,1,0.0,60.0,0,1,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k10,0.0,10,dwell_only,0.9678664479397858,098A72A5_tsts3,11B5EC4D-4133-4289-B475-4E737182A406,0.0,0.925,0,111,60,120,1,0.5586592178770949,0,90.0,90.0,0.05,0.0,111,0.925,,0,1,0,1,0.0,60.0,0,1,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k10,0.0,10,dwell_only,0.9678664479397858,098A72A5_tsts4,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,0.0,0.925,0,111,60,120,1,0.5586592178770949,0,90.0,90.0,0.05,0.0,111,0.925,,0,1,0,1,0.0,60.0,0,1,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k10,0.0,10,dwell_only,0.9678664479397858,098A72A5_tsts5,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,0.0,0.925,0,111,60,120,1,0.5586592178770949,0,90.0,90.0,0.05,0.0,111,0.925,,0,1,0,1,0.0,60.0,0,1,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0.05_k1,0.05,1,margin_only,0.8227400737832079,098A72A5_tsts0,665514DE-49DC-421F-8DCB-145D0B2609AD,0.0,0.0,0,0,60,120,2,1.1173184357541899,0,60.0,60.0,0.6666666666666666,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,60,60
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0.05_k1,0.05,1,margin_only,0.8227400737832079,098A72A5_tsts1,B9724848-C7E2-45F4-9B3F-A1F38D864495,0.0,0.0,0,0,60,120,2,1.1173184357541899,0,60.0,60.0,0.6666666666666666,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,60,60
