enrolled_user,target,cell,margin,dwell,cell_class,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0.05_k1,0.05,1,margin_only,0.2611111111111111,0.11527777777777777,4.833333333333333,2.8333333333333335,0.0,2.7001862197392925,2.6666666666666665,0.16666666666666666,0.16666666666666666,0.0,0.0,10.0,10.0,0.11527777777777777
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0.05_k2,0.05,2,hysteresis,0.2722222222222222,0.11805555555555557,2.5,0.6666666666666666,0.16666666666666666,1.3966480446927374,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.8,10.833333333333334,10.666666666666666,0.11805555555555557
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0.05_k3,0.05,3,hysteresis,0.2833333333333334,0.13194444444444445,2.1666666666666665,0.3333333333333333,0.16666666666666666,1.2104283054003724,0.0,0.16666666666666666,0.16666666666666666,2.0,2.2,11.666666666666666,11.833333333333334,0.13194444444444445
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0.05_k5,0.05,5,hysteresis,0.011111111111111112,0.8388888888888889,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,0.6666666666666666,,0.6666666666666666,60.0,0.8388888888888889
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0.1_k1,0.1,1,margin_only,0.2611111111111111,0.11249999999999999,4.5,2.5,0.0,2.5139664804469275,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.0,0.0,10.0,10.0,0.11249999999999999
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0.1_k2,0.1,2,hysteresis,0.2722222222222222,0.10833333333333334,2.5,0.6666666666666666,0.16666666666666666,1.3966480446927374,0.0,0.16666666666666666,0.16666666666666666,1.0,0.8,10.833333333333334,10.666666666666666,0.10833333333333334
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0.1_k3,0.1,3,hysteresis,0.18888888888888888,0.5680555555555555,1.0,0.0,1.0,0.5586592178770949,0.0,0.16666666666666666,1.0,1.6,,11.333333333333334,60.0,0.5680555555555555
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0.2_k1,0.2,1,margin_only,0.27499999999999997,0.08472222222222221,2.5,0.6666666666666666,0.16666666666666666,1.3966480446927374,0.0,0.16666666666666666,0.0,1.0,0.0,10.833333333333334,0.0,0.08472222222222221
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0.2_k2,0.2,2,hysteresis,0.1777777777777778,0.5208333333333334,1.0,0.0,1.0,0.5586592178770949,0.0,0.16666666666666666,0.8333333333333334,0.8,0.0,10.666666666666666,50.0,0.5208333333333334
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0_k1,0.0,1,instantaneous,0.2611111111111111,0.12916666666666668,7.666666666666667,5.666666666666667,0.0,4.283054003724395,5.333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,10.0,10.0,0.12916666666666668
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0_k10,0.0,10,dwell_only,0.0,0.9250000000000002,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,0.0,,0.0,60.0,0.9250000000000002
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0_k2,0.0,2,dwell_only,0.2722222222222222,0.14583333333333334,4.5,2.5,0.0,2.513966480446927,2.1666666666666665,0.16666666666666666,0.16666666666666666,1.0,0.8,10.833333333333334,10.666666666666666,0.14583333333333334
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0_k3,0.0,3,dwell_only,0.2833333333333334,0.15694444444444444,2.8333333333333335,0.8333333333333334,0.0,1.5828677839851022,0.3333333333333333,0.16666666666666666,0.16666666666666666,2.0,1.6,11.666666666666666,11.333333333333334,0.15694444444444444
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,m0_k5,0.0,5,dwell_only,0.0,0.9666666666666667,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,0.0,,0.0,60.0,0.9666666666666667
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0.05_k1,0.05,1,margin_only,0.26666666666666666,0.10416666666666667,6.166666666666667,4.166666666666667,0.0,3.445065176908752,4.333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,10.0,10.0,0.10416666666666667
