partition,params_str,mechanism,target_name,genuine_uuid,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks,genuine_hours,false_locks_per_hour,frr_time,transitions_per_hour,pingpong_per_hour,pingpong_locks_per_hour,lockout_mean_frames,X_n_sequences,X_ania_median,X_ania_mean,X_first_lock_median,X_miss_rate,X_far_frame,X_fa_frames,X_impostor_frames,X_recovery_median,X_recovery_censored_rate,X_locked_at_switch_rate,X_locked_at_return_rate,M_n_sequences,M_ania_median,M_ania_mean,M_first_lock_median,M_miss_rate,M_far_frame,M_fa_frames,M_impostor_frames,M_recovery_median,M_recovery_censored_rate,M_locked_at_switch_rate,M_locked_at_return_rate
test,"alpha=0.7, theta=0.1091",ewma,primary,E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,657,17,17,34,78,26,15,10.95,1.5525114155251143,0.1187214611872146,3.1050228310502286,2.3744292237442925,1.3698630136986303,4.588235294117647,16,2.0,4.125,1.0,0.125,0.28125,109,412,0.0,0.0,0.1875,0.75,16,2.0,7.25,2.0,0.1875,0.4895833333333333,161,412,0.0,0.0,0.0,0.6875
test,"alpha=0.7, theta=0.1091",ewma,primary,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,677,0,0,0,0,0,0,11.283333333333333,0.0,0.0,0.0,0.0,0.0,,16,2.0,2.4375,2.0,0.125,0.33958333333333335,108,412,0.0,0.0,0.0,0.8125,16,2.0,3.4375,2.0,0.0625,0.403125,124,412,0.0,0.0,0.0,0.8125
test,"alpha=0.7, theta=0.1091",ewma,primary,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,966,4,4,8,6,5,4,16.1,0.24844720496894407,0.006211180124223602,0.49689440993788814,0.3105590062111801,0.24844720496894407,1.5,16,1.0,2.6875,1.0,0.125,0.27708333333333335,81,412,0.0,0.0,0.0,0.75,16,2.5,7.625,1.0,0.1875,0.4239583333333333,181,412,0.0,0.0,0.0,0.6875
test,"k=3, theta=0.1091",majority_vote,primary,00EABED2-271D-49D8-B599-1D4A09240601,408,5,5,10,65,3,2,6.8,0.7352941176470589,0.15931372549019607,1.4705882352941178,0.4411764705882353,0.29411764705882354,13.0,16,1.0,9.375,1.0,0.125,0.3770833333333333,179,412,1.0,0.0,0.125,0.6875,16,1.0,1.0625,1.0,0.0,0.14583333333333331,31,412,1.0,0.0,0.3125,1.0
test,"k=3, theta=0.1091",majority_vote,primary,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,1334,0,0,0,0,0,0,22.233333333333334,0.0,0.0,0.0,0.0,0.0,,16,1.0,3.0625,1.0,0.125,0.4395833333333333,192,412,0.5,0.0,0.0,0.5625,16,1.0,3.1875,1.0,0.125,0.35,88,412,1.0,0.0,0.0,0.8125
test,"k=3, theta=0.1091",majority_vote,primary,0A986513-7828-4D53-AA1F-E02D6DF9561B,763,1,1,2,8,0,0,12.716666666666667,0.07863695937090433,0.010484927916120577,0.15727391874180865,0.0,0.0,8.0,16,3.0,5.8125,2.5,0.3125,0.515625,152,412,1.0,0.0,0.0,0.625,16,1.0,1.875,1.0,0.0,0.24895833333333334,57,412,1.0,0.0,0.0,0.75
test,"k=3, theta=0.1091",majority_vote,primary,11B5EC4D-4133-4289-B475-4E737182A406,1740,0,0,0,0,0,0,29.0,0.0,0.0,0.0,0.0,0.0,,16,1.0,4.75,1.0,0.25,0.4427083333333333,143,412,1.0,0.0,0.0,0.625,16,1.5,3.4375,1.5,0.0625,0.4,169,412,1.0,0.0,0.0,0.75
test,"k=3, theta=0.1091",majority_vote,primary,136562B6-95B2-483D-88DC-065F28409FD2,1215,0,0,0,0,0,0,20.25,0.0,0.0,0.0,0.0,0.0,,16,1.0,4.6875,1.0,0.1875,0.515625,197,412,0.5,0.0,0.0,0.5,16,1.0,4.75,1.0,0.1875,0.3958333333333333,114,412,1.0,0.0,0.0,0.625
test,"k=3, theta=0.1091",majority_vote,primary,1538C99F-BA1E-4EFB-A949-6C7C47701B20,1281,2,2,4,77,1,1,21.35,0.09367681498829039,0.060109289617486336,0.18735362997658078,0.046838407494145196,0.046838407494145196,38.5,16,1.0,4.6875,1.0,0.0625,0.23645833333333333,103,412,1.0,0.0,0.0,0.875,16,1.0,1.25,1.0,0.125,0.24166666666666667,46,412,1.0,0.0,0.125,0.875
test,"k=3, theta=0.1091",majority_vote,primary,24E40C4C-A349-4F9F-93AB-01D00FB994AF,926,1,1,2,4,1,1,15.433333333333334,0.06479481641468682,0.004319654427645789,0.12958963282937364,0.06479481641468682,0.06479481641468682,4.0,16,4.5,14.5625,3.0,0.375,0.603125,237,412,0.0,0.0,0.0,0.4375,16,10.0,17.1875,9.5,0.625,0.79375,307,412,0.0,0.0,0.0,0.3125
test,"k=3, theta=0.1091",majority_vote,primary,2C32C23E-E30C-498A-8DD2-0EFB9150A02E,1675,1,1,2,3,1,1,27.916666666666668,0.035820895522388055,0.001791044776119403,0.07164179104477611,0.035820895522388055,0.035820895522388055,3.0,16,1.5,6.5625,1.5,0.3125,0.4375,147,412,1.0,0.0,0.0,0.625,16,1.0,4.75,1.0,0.25,0.44166666666666665,115,412,0.0,0.0,0.0,0.625
test,"k=3, theta=0.1091",majority_vote,primary,3600D531-0C55-44A7-AE95-A7A38519464E,1032,3,2,5,15,3,1,17.2,0.1744186046511628,0.014534883720930232,0.29069767441860467,0.1744186046511628,0.05813953488372093,5.0,16,1.0,5.8125,1.0,0.1875,0.41770833333333335,131,412,1.0,0.0,0.0,0.6875,16,3.0,6.4375,2.5,0.25,0.5052083333333334,140,412,1.0,0.0,0.0,0.5625
test,"k=3, theta=0.1091",majority_vote,primary,4FC32141-E888-4BFF-8804-12559A491D8C,967,0,0,0,0,0,0,16.116666666666667,0.0,0.0,0.0,0.0,0.0,,16,10.0,21.3125,10.0,0.8125,0.8739583333333334,345,412,0.0,0.0,0.0,0.125,16,10.0,22.5,10.0,0.8125,0.9197916666666667,385,412,0.0,0.0,0.0,0.0
test,"k=3, theta=0.1091",majority_vote,primary,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,1295,2,2,4,4,2,2,21.583333333333332,0.09266409266409267,0.003088803088803089,0.18532818532818535,0.09266409266409267,0.09266409266409267,2.0,16,1.0,3.375,1.0,0.0,0.225,70,412,1.0,0.0,0.0,0.875,16,1.0,4.625,1.0,0.125,0.425,144,412,1.0,0.0,0.0,0.6875
test,"k=3, theta=0.1091",majority_vote,primary,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,1295,1,1,2,9,0,0,21.583333333333332,0.04633204633204634,0.0069498069498069494,0.09266409266409267,0.0,0.0,9.0,16,1.0,3.4375,1.0,0.125,0.3385416666666667,98,412,1.0,0.0,0.0,0.8125,16,2.0,4.0625,2.0,0.25,0.55625,172,412,0.0,0.0,0.0,0.375
test,"k=3, theta=0.1091",majority_vote,primary,5EF64122-B513-46AE-BCF1-E62AAC285D2C,754,2,2,4,4,2,2,12.566666666666666,0.15915119363395225,0.005305039787798408,0.3183023872679045,0.15915119363395225,0.15915119363395225,2.0,16,1.0,2.625,1.0,0.0625,0.27291666666666664,81,412,1.0,0.0,0.0,0.8125,16,1.0,3.875,1.0,0.0625,0.32708333333333334,96,412,1.0,0.0,0.0,0.875
