Mechanism,False locks / h (median [95% CI]),False locks / h (pooled),False locks (count),Transitions / h,Ping-pong events / h,Mean false-lock duration (frames)
Threshold,"0.616 [0.197, 1.820]",0.859,147,"1.232 [0.281, 3.640]","0.821 [0.138, 2.650]","1.30 [1.00, 3.42]"
Moving avg,"0.542 [0.192, 1.341]",0.689,118,"1.065 [0.449, 2.682]","0.607 [0.128, 1.341]","4.61 [2.56, 10.89]"
EWMA,"0.380 [0.192, 0.621]",0.532,91,"0.744 [0.384, 1.180]","0.160 [0.091, 0.311]","25.23 [18.30, 78.15]"
Majority vote,"0.672 [0.192, 1.277]",0.695,119,"1.326 [0.384, 2.555]","0.658 [0.141, 1.242]","4.99 [3.00, 11.22]"
Debounce,"0.466 [0.192, 1.245]",0.584,100,"0.913 [0.384, 2.491]","0.299 [0.172, 1.054]","7.54 [4.79, 14.27]"
Margin,"0.536 [0.207, 1.370]",0.643,110,"1.053 [0.414, 2.740]","0.486 [0.172, 1.370]","4.92 [2.67, 11.93]"
Hysteresis,"0.293 [0.192, 0.488]",0.339,58,"0.555 [0.384, 0.864]","0.070 [0.047, 0.124]","39.96 [26.50, 100.60]"
Trust,"0.387 [0.229, 0.497]",0.409,70,"0.736 [0.384, 0.990]","0.167 [0.091, 0.192]","29.99 [20.00, 70.64]"
SPRT,"0.480 [0.256, 0.644]",0.52,89,"0.911 [0.512, 1.287]","0.277 [0.187, 0.457]","11.47 [4.29, 21.25]"
HMM (supp.),"0.365 [0.187, 0.644]",0.45,77,"0.711 [0.375, 1.287]","0.219 [0.103, 0.451]","13.81 [6.14, 22.75]"
