outcome,n_users,statistic,p_value,kendalls_w,nemenyi_cd
ania,8,30.06119951040389,0.00020617713674,0.4697062423500608,4.247219188075149
first_lock,8,30.91046658259769,0.0001457526085386,0.4829760403530889,4.247219188075149
recovery,8,48.60972404730614,7.552252423115517e-08,0.7595269382391584,4.247219188075149
miss_rate,8,34.87999999999998,2.8118222030318533e-05,0.5449999999999997,4.247219188075149
far_frame,8,41.74058577405857,1.5148074903933176e-06,0.6521966527196652,4.247219188075149
frr_time,8,48.37118437118436,8.389562129921714e-08,0.7557997557997556,4.247219188075149
false_locks_per_hour,8,11.050666666666658,0.1988448512463053,0.1726666666666665,4.247219188075149
transitions_per_hour,8,10.87915006640106,0.2086412024964244,0.1699867197875165,4.247219188075149
pingpong_per_hour,8,12.528771384136837,0.1291245721270638,0.195762052877138,4.247219188075149
lockout_mean_frames,5,37.174872665534814,1.068704986452475e-05,0.9293718166383704,5.372354542515409
