outcome,n_users,statistic,p_value,kendalls_w,nemenyi_cd
ania,56,206.1084997349357,3.295013900356159e-40,0.4600636154797671,1.6052979621755017
first_lock,56,269.8271787296901,1.0702392438777366e-53,0.6022928096644868,1.6052979621755017
recovery,56,404.7904815021383,1.7691574421046422e-82,0.9035501819244158,1.6052979621755017
miss_rate,56,211.41561712846365,2.50169592765621e-41,0.4719098596617492,1.6052979621755017
far_frame,56,280.50007513148023,5.781794739149607e-56,0.6261162391327684,1.6052979621755017
frr_time,56,202.2379125095933,2.1571923382887948e-39,0.4514239118517708,1.6052979621755017
false_locks_per_hour,56,12.235809774271402,0.1409886767444592,0.0273120753889986,1.6052979621755017
transitions_per_hour,56,12.242245199409307,0.1407183582730309,0.0273264401772529,1.6052979621755017
pingpong_per_hour,56,39.67170626349914,3.687798670880231e-06,0.0885529157667391,1.6052979621755017
lockout_mean_frames,27,164.97548387096774,1.455238315814688e-31,0.7637753882915173,2.3118932970093278
