mechanism,n_users,detection_rate,recovery_rate,n_users_with_recovery_observed,FAR_mean,FAR_lo,FAR_hi,FAR_n,FRR_mean,FRR_lo,FRR_hi,FRR_n,n_transitions_mean,n_transitions_lo,n_transitions_hi,n_transitions_n,transition_rate_per_100_mean,transition_rate_per_100_lo,transition_rate_per_100_hi,transition_rate_per_100_n,n_flip_events_mean,n_flip_events_lo,n_flip_events_hi,n_flip_events_n,mean_run_length_frames_mean,mean_run_length_frames_lo,mean_run_length_frames_hi,mean_run_length_frames_n,detection_latency_frames_mean,detection_latency_frames_lo,detection_latency_frames_hi,detection_latency_frames_n,recovery_latency_frames_mean,recovery_latency_frames_lo,recovery_latency_frames_hi,recovery_latency_frames_n,lockout_fraction_during_genuine_mean,lockout_fraction_during_genuine_lo,lockout_fraction_during_genuine_hi,lockout_fraction_during_genuine_n
instantaneous,6,1.0,1.0,6,0.00185185185185185,0.0,0.004629629629629627,6,0.004166666666666661,0.0,0.009722222222222214,6,2.638888888888889,2.166666666666667,3.0833333333333335,6,1.474239602731223,1.2104283054003726,1.7225325884543763,6,0.5833333333333334,0.16666666666666666,1.0555555555555556,6,53.84722222222222,49.25,58.22222222222223,6,0.0,0.0,0.0,6,0.08333333333333333,0.0,0.25,6,0.004166666666666661,0.0,0.009722222222222214,6
moving_average,6,1.0,1.0,6,0.020555555555555525,0.008055555555555533,0.03657407407407403,6,0.04787037037037032,0.018331018518518465,0.0858333333333333,6,2.0833333333333335,2.0,2.1944444444444446,6,1.1638733705772815,1.11731843575419,1.2259466170080697,6,0.05555555555555555,0.0,0.16666666666666666,6,58.916666666666664,57.583333333333336,60.0,6,1.2055555555555555,0.4331944444444445,2.166666666666667,6,5.4944444444444445,2.1719444444444447,10.077777777777778,6,0.04787037037037032,0.018331018518518465,0.0858333333333333,6
ewma,6,1.0,1.0,6,0.012777777777777763,0.004166666666666667,0.022499999999999975,6,0.04708333333333331,0.017361111111111074,0.08482638888888881,6,2.361111111111111,2.0833333333333335,2.777777777777778,6,1.319056486654252,1.1638733705772812,1.5518311607697084,6,0.38888888888888884,0.05555555555555555,0.861111111111111,6,56.47222222222223,53.333333333333336,58.916666666666664,6,0.6833333333333332,0.2663888888888889,1.222222222222222,6,5.372222222222223,2.055555555555556,9.483333333333333,6,0.04708333333333331,0.017361111111111074,0.08482638888888881,6
majority_vote,6,1.0,1.0,6,0.021296296296296244,0.016666666666666604,0.02685185185185181,6,0.015277777777777737,0.009722222222222182,0.023148148148148095,6,2.138888888888889,2.0,2.305555555555556,6,1.1949099937926755,1.11731843575419,1.288019863438858,6,0.05555555555555555,0.0,0.16666666666666666,6,58.25,56.083333333333336,60.0,6,1.277777777777778,1.0,1.6111111111111114,6,1.4166666666666667,1.0833333333333333,1.752083333333322,6,0.015277777777777737,0.009722222222222182,0.023148148148148095,6
debounce,6,1.0,0.8888888888888888,6,0.01990740740740736,0.016666666666666604,0.023611111111111072,6,0.12106481481481479,0.00949074074074071,0.3351851851851852,6,2.0000000000000004,1.7222222222222223,2.2222222222222228,6,1.11731843575419,0.9621353196772192,1.2414649286157668,6,0.05555555555555555,0.0,0.16666666666666666,6,62.0,57.333333333333336,69.33333333333333,6,1.1944444444444444,1.0,1.4166666666666667,6,6.833333333333333,1.0833333333333333,17.916666666666668,6,0.12106481481481479,0.00949074074074071,0.3351851851851852,6
margin_dual_threshold,6,1.0,1.0,6,0.002777777777777775,0.0,0.007407407407407402,6,0.002777777777777775,0.0,0.007407407407407403,6,2.388888888888889,2.111111111111111,2.6666666666666665,6,1.3345747982619491,1.1793916821849784,1.4897579143389201,6,0.3611111111111111,0.1111111111111111,0.638888888888889,6,56.22222222222222,53.77777777777778,58.666666666666664,6,0.0,0.0,0.0,6,0.08333333333333333,0.0,0.25,6,0.002777777777777775,0.0,0.007407407407407403,6
hysteresis,6,0.9722222222222222,0.611111111111111,4,0.074537037037037,0.03148148148148144,0.12685185185185183,6,0.2408796296296296,0.0647222222222222,0.42083333333333334,6,1.6944444444444444,1.2777777777777777,2.1666666666666665,6,0.9466170080695221,0.7138423339540658,1.2104283054003726,6,0.05555555555555555,0.0,0.16666666666666666,6,72.83333333333333,60.666666666666664,84.16666666666667,6,2.8333333333333335,1.1666666666666667,4.722222222222222,6,7.7124999999999995,1.25,16.729166666666668,4,0.2408796296296296,0.0647222222222222,0.42083333333333334,6
trust_model,6,1.0,0.9333333333333332,6,0.046111111111111075,0.02435185185185181,0.08055555555555552,6,0.11152777777777774,0.04096643518518515,0.2198437499999996,6,1.9333333333333333,1.7999999999999998,2.0,6,1.0800744878957171,1.005586592178771,1.11731843575419,6,0.0,0.0,0.0,6,62.0,60.0,66.0,6,2.766666666666667,1.461111111111111,4.833333333333333,6,11.361111111111112,4.915972222222222,20.759027777777728,6,0.11152777777777774,0.04096643518518515,0.2198437499999996,6
sprt,6,1.0,1.0,6,0.0037962962962962894,0.0010185185185185143,0.007037037037037028,6,0.018009259259259246,0.0011574074074074056,0.04280671296296278,6,2.166666666666667,2.055555555555556,2.277777777777778,6,1.2104283054003726,1.1483550589695841,1.272501551831161,6,0.16666666666666666,0.05555555555555555,0.27777777777777773,6,58.0,56.666666666666664,59.333333333333336,6,0.14444444444444446,0.0,0.36666666666666664,6,1.9666666666666668,0.16666666666666666,4.535833333333319,6,0.018009259259259246,0.0011574074074074056,0.04280671296296278,6
