Mechanism,Parameters,FAR_frame M (median [95% CI]),FA frames / impostor frames (M),Missed blocks M,FRR_time (median [95% CI]),FR frames (pooled)
Threshold,theta=0.1301,"0.279 [0.228, 0.360]",4237/13596,"0.125 [0.062, 0.188]","0.0130 [0.0069, 0.0203]",1021
Moving avg,"k=3, theta=0.3543","0.267 [0.239, 0.335]",2649/13596,"0.062 [0.000, 0.125]","0.0245 [0.0156, 0.0557]",2254
EWMA,"alpha=0.5, theta=0.3318","0.277 [0.237, 0.361]",2795/13596,"0.062 [0.062, 0.125]","0.0213 [0.0115, 0.0502]",2030
Majority vote,"k=3, theta=0.3318","0.265 [0.226, 0.316]",2600/13596,"0.062 [0.000, 0.125]","0.0271 [0.0162, 0.0611]",2423
Debounce,"T=2, theta=0.4013","0.227 [0.210, 0.260]",2144/13596,"0.062 [0.000, 0.125]","0.0386 [0.0281, 0.0797]",2959
Margin,"m=0.3, theta=0.31","0.178 [0.157, 0.268]",2654/13596,"0.062 [0.062, 0.125]","0.0271 [0.0119, 0.0481]",2070
Hysteresis,"m=0.3, T=2, theta=0.7858","0.113 [0.094, 0.126]",598/13596,"0.000 [0.000, 0.000]","0.2742 [0.1803, 0.3214]",11468
Trust,"r=0.5, tau=0.5, theta=0.7858","0.110 [0.086, 0.122]",574/13596,"0.000 [0.000, 0.000]","0.2992 [0.1618, 0.3609]",11565
SPRT,"alpha=0.01, beta=0.4898","0.087 [0.048, 0.141]",947/13596,"0.000 [0.000, 0.062]","0.0618 [0.0485, 0.1159]",4600
HMM (supp.),"rho=0.0001, theta=0.9989","0.086 [0.064, 0.122]",853/13596,"0.000 [0.000, 0.062]","0.0618 [0.0461, 0.1215]",4839
