metric,median,q25,q75,min,max
AUC,0.9689159559713028,0.9485409798048572,0.98348453012978,0.824657595626783,0.998005071316144
EER,0.0978807360677037,0.0734369315656969,0.1274575573346278,0.0145408365115285,0.2477040859508411
FAR@0.5,0.1062057476051645,0.0778149153958638,0.1429788684389911,0.0140574521959311,0.2829429367454339
FRR@0.5,0.0893371757925072,0.0556133056133056,0.1498065229408513,0.0088135593220338,0.3606060606060606
"genuine mass in (0.4,0.6)",0.0636363636363636,0.0284857571214392,0.0869565217391304,0.0026525198938992,0.1436934539648749
"impostor mass in (0.4,0.6)",0.0581970006816632,0.0452763622108976,0.0718002081165452,0.013951353832033,0.1923649417739252
test frames within 90 s of a train frame,0.0,0.0,0.0,0.0,0.0
transitions/h at theta=0.5 (genuine test),5.908852802514406,3.1484257871064467,6.91358024691358,0.976271186440678,11.191709844559584
