target_name,mechanism,target,val_false_locks_per_hour,test_false_locks_per_hour,test_over_target
primary,threshold,0.125,0.1413477013505003,0.2352282273872865,1.881825819098292
primary,moving_average,0.125,0.12595339724302,0.217026043125175,1.7362083450014
primary,ewma,0.125,0.1301518438177874,0.233828059367124,1.870624474936992
primary,majority_vote,0.125,0.1231544328598418,0.1876225147017642,1.5009801176141135
primary,debounce,0.125,0.1357497725841438,0.2072248669840381,1.6577989358723049
primary,margin,0.125,0.1147575397103071,0.1554186502380286,1.2433492019042287
primary,hysteresis,0.125,0.1301518438177874,0.1918230187622515,1.534584150098012
primary,trust,0.125,0.1329508082009656,0.2184262111453374,1.7474096891626991
primary,sprt,0.125,0.1427471835420894,0.1708204984598152,1.3665639876785216
primary,hmm,0.125,0.1413477013505003,0.1834220106412769,1.4673760851302151
sensitivity_1,threshold,0.5,0.5429990903365755,0.7266872024642957,1.4533744049285915
sensitivity_1,moving_average,0.5,0.5080120355468476,0.6076729207504901,1.2153458415009801
sensitivity_1,ewma,0.5,0.4814218739066545,0.600672080649678,1.201344161299356
sensitivity_1,majority_vote,0.5,0.5262053040375061,0.6034724166900028,1.2069448333800057
sensitivity_1,debounce,0.5,0.5611923588272338,0.5726687202464297,1.1453374404928593
sensitivity_1,margin,0.5,0.5457980547197536,0.6370764491739009,1.2741528983478019
sensitivity_1,hysteresis,0.5,0.5583933944440557,0.530663679641557,1.061327359283114
sensitivity_1,trust,0.5,0.537401161570219,0.5530663679641558,1.1061327359283115
sensitivity_1,sprt,0.5,0.5611923588272338,0.5754690562867545,1.150938112573509
sensitivity_1,hmm,0.5,0.5541949478692884,0.5292635116213946,1.0585270232427892
sensitivity_2,threshold,0.0416667,0.0419844657476733,0.1120134416129935,2.688320448055485
sensitivity_2,moving_average,0.0416667,0.0433839479392624,0.1148137776533184,2.7555284592568743
sensitivity_2,ewma,0.0416667,0.0433839479392624,0.0938112573508821,2.25146837524647
sensitivity_2,majority_vote,0.0416667,0.0475823945140298,0.0910109213105572,2.1842603640450813
sensitivity_2,debounce,0.0416667,0.0433839479392624,0.0924110893307196,2.217864369645775
sensitivity_2,margin,0.0416667,0.0461829123224406,0.0966115933912069,2.3186763864478563
sensitivity_2,hysteresis,0.0416667,0.0433839479392624,0.0714085690282834,1.713804285635373
sensitivity_2,trust,0.0416667,0.0447834301308515,0.0672080649677961,1.6129922688332914
sensitivity_2,sprt,0.0416667,0.0489818767056189,0.0532063847661719,1.2769522128263553
sensitivity_2,hmm,0.0416667,0.0545798054719753,0.1386166339960795,3.3267965544686646
