Mechanism,Sustained detection M (frames),First lock M (frames),Recovery after return M (frames),Sustained detection X (frames),Missed blocks X
Threshold,"4.00 [3.00, 8.00]","3.00 [1.00, 3.50]","0.00 [0.00, 0.00]","3.00 [3.00, 5.50]","0.438 [0.312, 0.500]"
Moving avg,"3.50 [3.00, 6.50]","3.00 [2.00, 4.00]","0.00 [0.00, 0.00]","3.00 [2.50, 3.50]","0.438 [0.312, 0.500]"
EWMA,"3.50 [3.00, 6.50]","3.00 [2.00, 3.50]","0.00 [0.00, 0.00]","3.00 [3.00, 3.50]","0.438 [0.312, 0.500]"
Majority vote,"3.00 [2.50, 4.00]","3.00 [2.00, 4.00]","0.00 [0.00, 0.50]","2.50 [2.00, 3.00]","0.312 [0.250, 0.438]"
Debounce,"3.00 [2.50, 4.00]","3.00 [2.50, 3.50]","0.00 [0.00, 0.50]","2.50 [2.00, 3.00]","0.312 [0.250, 0.438]"
Margin,"3.00 [2.50, 6.50]","3.00 [1.50, 3.50]","0.00 [0.00, 0.00]","2.50 [1.50, 3.00]","0.312 [0.250, 0.438]"
Hysteresis,"2.50 [2.00, 3.00]","2.50 [2.00, 3.00]","1.00 [1.00, 1.00]","2.00 [1.50, 3.00]","0.312 [0.188, 0.375]"
Trust,"3.50 [3.00, 5.50]","3.50 [3.00, 4.00]","0.50 [0.00, 0.50]","3.00 [3.00, 3.50]","0.438 [0.375, 0.500]"
SPRT,"3.00 [2.50, 3.00]","3.00 [2.50, 3.00]","1.00 [0.50, 1.00]","2.50 [2.00, 3.00]","0.250 [0.188, 0.312]"
HMM (supp.),"4.50 [3.00, 7.00]","3.00 [2.50, 3.50]","0.00 [0.00, 0.00]","3.00 [3.00, 4.00]","0.438 [0.375, 0.500]"
