outcome,n_users,statistic,p_value,kendalls_w,nemenyi_cd
ania,33,93.75579067772372,8.017122907959196e-17,0.3551355707489534,2.091186169504804
first_lock,33,120.948748510131,2.1115065054706905e-22,0.4581391989020114,2.091186169504804
recovery,33,207.48571428571424,1.6880725203011424e-40,0.7859307359307357,2.091186169504804
miss_rate,33,125.86920332936978,2.0287491883093253e-23,0.4767772853385219,2.091186169504804
far_frame,33,178.5223767383059,2.103155604154988e-34,0.6762211240087345,2.091186169504804
frr_time,33,132.53277461837783,8.441262728356473e-25,0.5020180856756736,2.091186169504804
false_locks_per_hour,33,24.607528641571168,0.001811246891391,0.0932103357635271,2.091186169504804
transitions_per_hour,33,24.57328990228017,0.0018355022221682,0.093080643569243,2.091186169504804
pingpong_per_hour,33,70.78819672131145,3.423580588203413e-12,0.2681371087928464,2.091186169504804
lockout_mean_frames,17,112.40119165839128,1.2213620357694231e-20,0.8264793504293477,2.9135683261800125
