enrolled_user,feature_set,model,n_features,n_genuine_train,n_genuine_calib,n_genuine_test,n_impostor_train,n_impostor_calib,n_impostor_test,n_test_impostor_participants,n_test_segments,genuine_test_span_hours,fit_seconds,total_seconds,AUC,AP_genuine_positive,EER_test_oracle,eer_threshold_test_oracle,EER_calibration,cal_EER_threshold_threshold,cal_EER_threshold_FAR,cal_EER_threshold_FRR,cal_EER_threshold_HTER,cal_EER_threshold_n_genuine,cal_EER_threshold_n_impostor,fixed_0.5_threshold,fixed_0.5_FAR,fixed_0.5_FRR,fixed_0.5_HTER,fixed_0.5_n_genuine,fixed_0.5_n_impostor,cal_FAR0.01_threshold,cal_FAR0.01_FAR,cal_FAR0.01_FRR,cal_FAR0.01_HTER,cal_FAR0.01_n_genuine,cal_FAR0.01_n_impostor,cal_FAR0.001_threshold,cal_FAR0.001_FAR,cal_FAR0.001_FRR,cal_FAR0.001_HTER,cal_FAR0.001_n_genuine,cal_FAR0.001_n_impostor
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F1_ALL,gradient_boosting,225,4087,1363,1363,48000,23600,47581,23,5,116.87722222222222,68.3465633392334,69.17970299720764,0.9828798720081966,0.678465590289031,0.0687926722416728,1.4908853230086857e-06,0.0878486203165997,2.251716744642316e-06,0.0459006746390365,0.0961115187087306,0.0710060966738836,1363,47581,0.5,0.0,1.0,0.5,1363,47581,1.6015056557720714e-05,0.005065046972531,0.5179750550256786,0.2615200509991048,1363,47581,0.002297602917408,0.0001681343393371,1.0,0.5000840671696686,1363,47581
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F1_ALL,logistic_regression,225,4087,1363,1363,48000,23600,47581,23,5,116.87722222222222,22.720744132995605,23.108906984329224,0.94967638534238,0.2821438313956267,0.1004869203773345,0.0428306709856812,0.1329654488478804,0.0429436469904666,0.1003762005842668,0.1005135730007337,0.1004448867925002,1363,47581,0.5,0.0323448435299804,0.3873807776962582,0.2098628106131193,1363,47581,0.9996183698456208,0.0043504760303482,1.0,0.5021752380151742,1363,47581,0.9999985527087262,0.0010298228284399,1.0,0.50051491141422,1363,47581
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F2_STAGE1_COMPARABLE,gradient_boosting,103,4087,1363,1363,48000,23600,47581,23,5,116.87722222222222,34.71360492706299,35.22898578643799,0.9991898435140212,0.9803367181718904,0.0125412813054798,0.5653311481742292,0.0638852326000721,0.1555721735349278,0.0339000861688489,0.0036683785766691,0.018784232372759,1363,47581,0.5,0.0146487043147474,0.0088041085840058,0.0117264064493766,1363,47581,0.9476025512993856,0.0019965952796284,0.0704328686720469,0.0362147319758376,1363,47581,0.9930342034179692,0.0005254198104285,0.1870873074101247,0.0938063636102766,1363,47581
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F2_STAGE1_COMPARABLE,logistic_regression,103,4087,1363,1363,48000,23600,47581,23,5,116.87722222222222,12.319828033447266,12.544369220733644,0.9438402934715198,0.2391201371435256,0.1203219769514404,0.6374241750686522,0.1985867882412922,0.4598626472696585,0.201551039280385,0.0447542186353632,0.1231526289578741,1363,47581,0.5,0.1812698345978436,0.0638297872340425,0.1225498109159431,1363,47581,0.947587145949658,0.0099829763981421,0.9486426999266324,0.4793128381623873,1363,47581,0.9876349403908036,0.0013240579222799,0.9926632428466616,0.4969936503844708,1363,47581
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F3_NO_LOC_NO_DEVSTATE,gradient_boosting,119,4087,1363,1363,48000,23600,47581,23,5,116.87722222222222,54.69338178634644,55.19542026519776,0.9680812900542016,0.724657290011687,0.1054717165089741,6.721775013385189e-07,0.0897118457540072,1.5408774624952787e-06,0.0487799752001849,0.1357300073367571,0.092254991268471,1363,47581,0.5,2.1016792417141297e-05,1.0,0.5000105083962085,1363,47581,1.357567298699439e-05,0.0031104852777369,0.3668378576669112,0.184974171472324,1363,47581,0.0013874048783149,0.0001471175469199,0.9948642699926632,0.4975056937697916,1363,47581
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F3_NO_LOC_NO_DEVSTATE,logistic_regression,119,4087,1363,1363,48000,23600,47581,23,5,116.87722222222222,12.99773097038269,13.22516655921936,0.8383132594696646,0.0912917884648954,0.2466260916647015,2.875244625239458e-05,0.1189616312471243,4.02728675446454e-05,0.2362707803535024,0.2758620689655172,0.2560664246595098,1363,47581,0.5,0.0079233307412622,0.9992663242846662,0.5035948275129642,1363,47581,0.0046058049203943,0.0824278598600281,0.6302274394717535,0.3563276496658908,1363,47581,0.6392330589127949,0.0051701309346167,1.0,0.5025850654673084,1363,47581
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F4_LOCATION_ONLY,gradient_boosting,17,4087,1363,1363,48000,23600,47581,23,5,116.87722222222222,12.22775173187256,12.577025175094604,0.9914615541574135,0.8046568378824731,0.0432276794147518,0.2420191301900565,0.0991841277341855,0.0323391328046667,0.1095815556629747,0.0058694057226705,0.0577254806928226,1363,47581,0.5,0.0293604590067463,0.0652971386647102,0.0473287988357283,1363,47581,0.6962566286461715,0.0230133876967697,0.0946441672780631,0.0588287774874164,1363,47581,0.9818290124072132,0.0033626867867426,0.3763756419662509,0.1898691643764967,1363,47581
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F4_LOCATION_ONLY,logistic_regression,17,4087,1363,1363,48000,23600,47581,23,5,116.87722222222222,5.802777290344238,5.925014019012451,0.8857504651719291,0.1693456126611605,0.1636652487244865,0.5805288859809438,0.2595216185632391,0.3090284366004283,0.2721464450095626,0.0858400586940572,0.1789932518518099,1363,47581,0.5,0.1910426430718143,0.1188554658840792,0.1549490544779468,1363,47581,0.9272680342920148,0.0128832937517076,0.962582538517975,0.4877329161348413,1363,47581,0.9869977171866045,0.0029003173535654,0.9992663242846662,0.5010833208191159,1363,47581
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F5_DEVICE_STATE_ONLY,gradient_boosting,34,4087,1363,1363,48000,23600,47581,23,5,116.87722222222222,2.2463181018829346,2.4970805644989014,0.7921564282172534,0.072386018875403,0.3074075342471563,0.6750051932923099,0.4428895320641158,0.6638502635952572,0.3310775309472268,0.2237710931768158,0.2774243120620213,1363,47581,0.5,0.4369391143523675,0.0506236243580338,0.2437813693552006,1363,47581,0.9087322515115216,0.0104453458313192,0.9853264856933236,0.4978859157623214,1363,47581,0.9087322515115216,0.0104453458313192,0.9853264856933236,0.4978859157623214,1363,47581
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F5_DEVICE_STATE_ONLY,logistic_regression,34,4087,1363,1363,48000,23600,47581,23,5,116.87722222222222,0.3090789318084717,0.4169380664825439,0.7853025484456725,0.0706316344594644,0.3104778902495698,0.6900858616484026,0.4958962501709837,0.6844271645597576,0.3655871040961728,0.1137197358767424,0.2396534199864576,1363,47581,0.5,0.5553267060381245,0.0036683785766691,0.2794975423073968,1363,47581,0.76422261552001,0.0101511107374792,0.9479090242112986,0.4790300674743889,1363,47581,0.76422261552001,0.0101511107374792,0.9479090242112986,0.4790300674743889,1363,47581
