outcome,comparison,n_users,median_diff,ci_lo,ci_hi,p_holm,rank_biserial,significant
false_locks_per_hour,hysteresis - threshold,33,0.0,-0.0468384074941451,0.034944670937682,1.0,-0.0953846153846153,False
false_locks_per_hour,trust - threshold,33,0.0,-0.1277275146354444,0.0,0.1339569619787702,-0.5466666666666666,False
false_locks_per_hour,sprt - threshold,33,0.0,-0.0864553314121036,0.0463320463320463,1.0,-0.2934472934472934,False
transitions_per_hour,moving_average - threshold,33,0.0,0.0,0.0987654320987654,1.0,-0.0153846153846153,False
transitions_per_hour,ewma - threshold,33,0.0,-0.0015715034049235,0.063863757317722,1.0,-0.072463768115942,False
transitions_per_hour,majority_vote - threshold,33,0.0,-0.0801603206412826,0.0,1.0,-0.2246376811594203,False
transitions_per_hour,debounce - threshold,33,0.0,-0.0581395348837208,0.1017811704834606,1.0,-0.0846560846560846,False
transitions_per_hour,margin - threshold,33,0.0,0.0,0.0,0.0614863524417061,-1.0,False
transitions_per_hour,hysteresis - threshold,33,0.0,-0.1432835820895521,0.069889341875364,1.0,-0.1323076923076923,False
transitions_per_hour,trust - threshold,33,0.0,-0.2554550292708888,0.0,0.1339569619787702,-0.5466666666666666,False
transitions_per_hour,sprt - threshold,33,0.0,-0.1555411535968892,0.062111801242236,1.0,-0.3048433048433048,False
pingpong_per_hour,moving_average - threshold,33,0.0,-0.0864553314121036,0.064034151547492,1.0,-0.0582010582010582,False
pingpong_per_hour,ewma - threshold,33,0.0,-0.0468384074941451,0.0,1.0,-0.0289855072463768,False
pingpong_per_hour,majority_vote - threshold,33,0.0,-0.0463320463320463,0.0,0.5029538126314228,-0.3359683794466403,False
pingpong_per_hour,debounce - threshold,33,-0.0307062436028658,-0.0886262924667651,0.0,0.1386797411292272,-0.483076923076923,False
pingpong_per_hour,margin - threshold,33,0.0,-0.0307062436028658,0.0,0.0171760103616246,-0.9743589743589745,True
pingpong_per_hour,hysteresis - threshold,33,0.0,-0.0995024875621889,0.0,0.0391911082626039,-0.6623376623376623,True
pingpong_per_hour,trust - threshold,33,-0.0495049504950495,-0.126528890763391,0.0,0.0120439341105771,-0.7169230769230769,True
pingpong_per_hour,sprt - threshold,33,-0.0886262924667651,-0.124223602484472,-0.0314300680984808,0.0002821962429356,-0.9855072463768116,True
lockout_mean_frames,moving_average - threshold,21,1.0,0.5,1.5,0.0005223858794993,1.0,True
lockout_mean_frames,ewma - threshold,20,0.3500000000000001,0.0,0.794047619047619,0.0018654246143055,0.978021978021978,True
lockout_mean_frames,majority_vote - threshold,21,1.0,1.0,2.0,0.0003411762272133,1.0,True
lockout_mean_frames,debounce - threshold,21,6.175,4.4,7.666666666666666,0.0003411762272133,1.0,True
lockout_mean_frames,margin - threshold,23,0.6000000000000001,0.3333333333333332,1.488095238095238,0.0008705686968607,1.0,True
lockout_mean_frames,hysteresis - threshold,22,6.625,3.5,11.935064935064934,0.0002803690393524,1.0,True
lockout_mean_frames,trust - threshold,19,9.0,4.0,17.5,0.0008755543891493,1.0,True
lockout_mean_frames,sprt - threshold,21,17.0,13.75,24.623529411764707,7.62939453125e-06,1.0,True
