enrolled_user,mechanism,FAR,FRR,n_transitions,transition_rate_per_100,n_flip_events,mean_run_length_frames,detection_latency_frames,recovery_latency_frames,lockout_fraction_during_genuine,detected,recovered
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,debounce,0.03888888888888885,0.26944444444444443,3.8333333333333335,2.1415270018621975,0.0,37.5,2.3333333333333335,8.666666666666666,0.26944444444444443,1.0,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,ewma,0.008333333333333316,0.38749999999999996,4.5,2.5139664804469275,1.1666666666666667,35.333333333333336,0.5,19.5,0.38749999999999996,1.0,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,hysteresis,0.013888888888888867,0.65,1.1666666666666667,0.6517690875232774,0.0,85.0,0.6666666666666666,0.0,0.65,1.0,0.16666666666666666
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,instantaneous,0.008333333333333333,0.31111111111111106,18.0,10.05586592178771,14.333333333333334,9.762681159420291,0.0,0.0,0.31111111111111106,1.0,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,majority_vote,0.011111111111111084,0.2916666666666667,8.5,4.748603351955308,3.8333333333333335,19.49025974025974,0.3333333333333333,0.8333333333333334,0.2916666666666667,1.0,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,margin_dual_threshold,0.008333333333333333,0.6555555555555556,1.0,0.5586592178770949,0.0,100.0,0.0,0.0,0.6555555555555556,1.0,0.16666666666666666
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,moving_average,0.008333333333333316,0.48055555555555557,4.833333333333333,2.7001862197392925,2.1666666666666665,45.285714285714285,0.5,16.6,0.48055555555555557,1.0,0.8333333333333334
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,sprt,0.0111111111111111,0.26388888888888884,4.333333333333333,2.420856610800745,0.0,34.785714285714285,0.6666666666666666,8.5,0.26388888888888884,1.0,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,trust_model,0.0027777777777777666,0.6069444444444444,1.6666666666666667,0.9310986964618251,0.0,70.0,0.16666666666666666,39.0,0.6069444444444444,1.0,0.6666666666666666
0A986513-7828-4D53-AA1F-E02D6DF9561B,debounce,0.11111111111111109,0.2236111111111111,2.0,1.11731843575419,0.0,60.0,6.666666666666667,18.333333333333332,0.2236111111111111,1.0,1.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,ewma,0.15277777777777776,0.0083333333333333,6.666666666666667,3.7243947858473,5.166666666666667,43.57894736842105,1.8333333333333333,1.0,0.0083333333333333,1.0,1.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,hysteresis,0.0666666666666666,0.3833333333333333,1.3333333333333333,0.7448789571694601,0.0,80.0,4.0,18.0,0.3833333333333333,1.0,0.3333333333333333
0A986513-7828-4D53-AA1F-E02D6DF9561B,instantaneous,0.08055555555555555,0.0,6.333333333333333,3.538175046554935,4.666666666666667,43.76470588235295,1.0,0.0,0.0,1.0,1.0
