mechanism,chosen_params,calib_FAR,calib_FRR,target_FAR,tolerance,feasible_interval,n_candidates,n_feasible_candidates,feasible_operating_point_exists,constraint_satisfied,nearest_candidate_direction,achievable_min_FAR,achievable_max_FAR,enrolled_user
ewma,"{'theta': 0.8697353798095695, 'alpha': 0.1}",0.05,0.1861111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",316,28,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
majority_vote,"{'theta': 0.8745429970264019, 'w': 5, 'k': 3}",0.05,0.0569444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",395,66,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
debounce,"{'theta': 0.8561427327065748, 'n': 3}",0.05,0.0486111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",316,72,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
margin_dual_threshold,"{'theta': 0.8505466614603671, 'margin': 0.05}",0.05,0.0430555555555555,0.05,0.01,"[0.04, 0.060000000000000005]",316,11,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
hysteresis,"{'theta': 0.8581375964917549, 'margin': 0.05, 'ttt_frames': 2}",0.05,0.0486111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",948,168,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
trust_model,"{'theta': 0.9094825068332683, 'gain': 0.6, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.3319444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",711,61,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
sprt,"{'A': 16, 'B': 16, 'mu_gen': 0.9373256431949326, 'sd_gen': 0.04683634533917442, 'mu_imp': 0.5104993709054623, 'sd_imp': 0.30259174967565355}",0.0472222222222222,0.0930555555555555,0.05,0.01,"[0.04, 0.060000000000000005]",25,6,True,True,within_interval,0.0305555555555555,0.1611111111111111,136562B6-95B2-483D-88DC-065F28409FD2
instantaneous,{'theta': 0.867532641945833},0.05,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",80,13,True,True,within_interval,0.0,0.9722222222222222,1538C99F-BA1E-4EFB-A949-6C7C47701B20
moving_average,"{'theta': 0.8648709990300678, 'w': 3}",0.05,0.0125,0.05,0.01,"[0.04, 0.060000000000000005]",320,48,True,True,within_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
ewma,"{'theta': 0.8692350966201596, 'alpha': 0.2}",0.05,0.0583333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",320,57,True,True,within_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
majority_vote,"{'theta': 0.869716929045736, 'w': 3, 'k': 2}",0.0527777777777777,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",400,72,True,True,within_interval,0.0,0.9861111111111112,1538C99F-BA1E-4EFB-A949-6C7C47701B20
debounce,"{'theta': 0.8702818771916735, 'n': 2}",0.05,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",320,35,True,True,within_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
margin_dual_threshold,"{'theta': 0.8557284190106693, 'margin': 0.05}",0.05,0.0013888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",320,105,True,True,within_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
hysteresis,"{'theta': 0.8925222696411251, 'margin': 0.05, 'ttt_frames': 2}",0.0472222222222222,0.1791666666666666,0.05,0.01,"[0.04, 0.060000000000000005]",960,37,True,True,within_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
trust_model,"{'theta': 0.9213984287099902, 'gain': 0.3, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.5152777777777777,0.05,0.01,"[0.04, 0.060000000000000005]",720,17,True,True,within_interval,0.0,1.0,1538C99F-BA1E-4EFB-A949-6C7C47701B20
sprt,"{'A': 8, 'B': 1, 'mu_gen': 0.9259595592197434, 'sd_gen': 0.03251697868706521, 'mu_imp': 0.550189675611596, 'sd_imp': 0.31638437221706395}",0.05,0.0208333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",25,7,True,True,within_interval,0.05,0.1138888888888888,1538C99F-BA1E-4EFB-A949-6C7C47701B20
instantaneous,{'theta': 0.90382281572155},0.05,0.0013888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",72,12,True,True,within_interval,0.0,0.9694444444444444,24E40C4C-A349-4F9F-93AB-01D00FB994AF
moving_average,"{'theta': 0.8932296255081064, 'w': 20}",0.05,0.1375,0.05,0.01,"[0.04, 0.060000000000000005]",288,20,True,True,within_interval,0.0,1.0,24E40C4C-A349-4F9F-93AB-01D00FB994AF
ewma,"{'theta': 0.8280465526035142, 'alpha': 0.5}",0.05,0.0111111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",288,29,True,True,within_interval,0.0,1.0,24E40C4C-A349-4F9F-93AB-01D00FB994AF
majority_vote,"{'theta': 0.9040657795088175, 'w': 3, 'k': 2}",0.05,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",360,42,True,True,within_interval,0.0,0.9972222222222222,24E40C4C-A349-4F9F-93AB-01D00FB994AF
debounce,"{'theta': 0.9041679417628785, 'n': 2}",0.05,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",288,34,True,True,within_interval,0.0,1.0,24E40C4C-A349-4F9F-93AB-01D00FB994AF
margin_dual_threshold,"{'theta': 0.8727185051235681, 'margin': 0.05}",0.0527777777777777,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",288,7,True,True,within_interval,0.0,1.0,24E40C4C-A349-4F9F-93AB-01D00FB994AF
hysteresis,"{'theta': 0.8727185051235681, 'margin': 0.2, 'ttt_frames': 3}",0.0472222222222222,0.2902777777777778,0.05,0.01,"[0.04, 0.060000000000000005]",864,67,True,True,within_interval,0.0,1.0,24E40C4C-A349-4F9F-93AB-01D00FB994AF
trust_model,"{'theta': 0.8089732770745429, 'gain': 0.6, 'decay': 0.2, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.0305555555555555,0.05,0.01,"[0.04, 0.060000000000000005]",648,101,True,True,within_interval,0.0,1.0,24E40C4C-A349-4F9F-93AB-01D00FB994AF
sprt,"{'A': 2, 'B': 1, 'mu_gen': 0.9508737414328132, 'sd_gen': 0.027769326428955746, 'mu_imp': 0.41774691358024696, 'sd_imp': 0.27516664217617687}",0.0555555555555555,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",25,8,True,True,within_interval,0.0027777777777777,0.0666666666666666,24E40C4C-A349-4F9F-93AB-01D00FB994AF
instantaneous,{'theta': 0.839394706013411},0.0722222222222222,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",49,0,False,False,above_interval,0.0,0.9694444444444444,2C32C23E-E30C-498A-8DD2-0EFB9150A02E
moving_average,"{'theta': 0.8527432495561992, 'w': 10}",0.0444444444444444,0.0527777777777777,0.05,0.01,"[0.04, 0.060000000000000005]",196,8,True,True,within_interval,0.0,1.0,2C32C23E-E30C-498A-8DD2-0EFB9150A02E
ewma,"{'theta': 0.8392817254687759, 'alpha': 0.5}",0.05,0.0138888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",196,16,True,True,within_interval,0.0,1.0,2C32C23E-E30C-498A-8DD2-0EFB9150A02E
majority_vote,"{'theta': 0.8686962440437261, 'w': 10, 'k': 6}",0.05,0.1,0.05,0.01,"[0.04, 0.060000000000000005]",245,4,True,True,within_interval,0.0,1.0,2C32C23E-E30C-498A-8DD2-0EFB9150A02E
debounce,"{'theta': 0.9291179108661123, 'n': 10}",0.05,0.5055555555555555,0.05,0.01,"[0.04, 0.060000000000000005]",196,21,True,True,within_interval,0.0,1.0,2C32C23E-E30C-498A-8DD2-0EFB9150A02E
margin_dual_threshold,"{'theta': 0.8868274128748949, 'margin': 0.1}",0.0527777777777777,0.0277777777777777,0.05,0.01,"[0.04, 0.060000000000000005]",196,1,True,True,within_interval,0.0,1.0,2C32C23E-E30C-498A-8DD2-0EFB9150A02E
