target_name,mechanism,target,val_false_locks_per_hour,test_false_locks_per_hour,test_over_target
primary,threshold,0.125,0.1425588595291237,0.2517711641542242,2.0141693132337934
primary,moving_average,0.125,0.1382388940888473,0.2474600140830902,1.9796801126647217
primary,ewma,0.125,0.1365109079127367,0.2465977840688634,1.9727822725509072
primary,majority_vote,0.125,0.1425588595291237,0.2112463534855648,1.6899708278845185
primary,debounce,0.125,0.1330549355605155,0.1827927630160806,1.4623421041286448
primary,margin,0.125,0.1175030599755202,0.1577880926035035,1.262304740828028
primary,hysteresis,0.125,0.1416948664410685,0.1931395231868021,1.5451161854944169
primary,trust,0.125,0.1304629562963496,0.1715837728311322,1.3726701826490575
primary,sprt,0.125,0.1391028871769026,0.1560636325750499,1.2485090606003992
primary,hmm,0.125,0.1416948664410685,0.1707215428169054,1.3657723425352433
sensitivity_1,threshold,0.5,0.5408596731226151,0.6940951614525702,1.3881903229051404
sensitivity_1,moving_average,0.5,0.5270357837137304,0.572520729446592,1.145041458893184
sensitivity_1,ewma,0.5,0.552091583267334,0.6225300702717462,1.2450601405434925
sensitivity_1,majority_vote,0.5,0.5313557491540069,0.5690718093896848,1.1381436187793696
sensitivity_1,debounce,0.5,0.5477716178270574,0.5544138991478293,1.1088277982956587
sensitivity_1,margin,0.5,0.534811721506228,0.5733829594608189,1.1467659189216377
sensitivity_1,hysteresis,0.5,0.4777881776945785,0.42507939701381,0.85015879402762
sensitivity_1,trust,0.5,0.3939808481532148,0.3897279664305114,0.7794559328610228
sensitivity_1,sprt,0.5,0.4682842537259702,0.4681908977251498,0.9363817954502996
sensitivity_1,hmm,0.5,0.5736914104687163,0.5595872792331901,1.1191745584663801
sensitivity_2,threshold,0.0416667,0.0466556267549859,0.1267478120913389,3.041945056636088
sensitivity_2,moving_average,0.0416667,0.04406364749082,0.105192061735669,2.5246074619700862
sensitivity_2,ewma,0.0416667,0.0475196198430412,0.1224366620202049,2.9384775377028873
sensitivity_2,majority_vote,0.0416667,0.04406364749082,0.0862230014226795,2.069350378664005
sensitivity_2,debounce,0.0416667,0.0449276405788753,0.0844985413942259,2.0279633710907246
sensitivity_2,margin,0.0416667,0.0457916336669306,0.100880911664535,2.4211399430368856
sensitivity_2,hysteresis,0.0416667,0.0414716682266541,0.0594938709816488,1.4278517612781623
sensitivity_2,trust,0.0416667,0.0414716682266541,0.0638050210527828,1.5313192802113629
sensitivity_2,sprt,0.0416667,0.0475196198430412,0.0663917110954632,1.5933997915712834
sensitivity_2,hmm,0.0416667,0.0596155230758154,0.1646859327173179,3.952459223248251
